vt_symbol,name,date,ym,组,出手,通道,位置,夹层,曾收顶上,res,D1开%,D1收%,板留%,距顶%,坑深%,弹回%,坑宽,ma_st,上波高,昨幅%,昨上影%,昨涨停家,is_wv,v3grp,is_lim,n1_lim,prev_lim
000560.SZSE,我爱我家,2024-05-06,2024-05,2板补涨阴,False,,无U,,True,炸板,-10.55,-7.34,-7.34,4.21,4.21,0.0,2,+--,2,4.21,2.63,47.0,False,,False,False,False
000561.SZSE,烽火电子,2025-06-17,2025-06,2板补涨阴,False,,U坑内,,False,炸板,-5.56,-4.95,-4.95,-5.96,-7.94,2.16,16,--+,2,-1.32,0.22,41.0,False,,False,False,False
000561.SZSE,烽火电子,2025-06-23,2025-06,2板补涨阴,False,,U坑内,,False,封D1正,1.6,3.2,3.2,-10.87,-10.87,0.0,20,+-+,2,-5.01,0.45,36.0,False,,True,False,False
000566.SZSE,海南海药,2026-08-25,2026-08,2板补涨阴,False,,U坑内,,True,封D1正,0.0,1.21,1.21,-22.47,-22.47,0.0,20,--+,2,-6.61,0.83,41.0,False,,True,False,False
000569.SZSE,长城股份,2006-06-16,2006-06,2板补涨阴,False,,U坑内,,True,炸板,-6.16,-1.72,-1.72,-36.38,-36.38,0.0,14,---,2,-1.6,2.67,0.0,False,,False,False,False
000571.SZSE,新大洲A,2026-07-15,2026-07,2板补涨阴,False,,U坑内,,True,封D1负,-1.84,-3.99,-3.99,-7.64,-7.64,0.0,16,-++,2,-0.67,0.0,71.0,False,,True,False,False
000572.SZSE,海马汽车,2025-10-31,2025-10,2板补涨阴,True,U坑,U坑内,,False,连板,4.39,10.0,36.36,-15.97,-20.59,5.82,11,-++,2,-1.8,2.62,42.0,True,03,True,True,False
000586.SZSE,汇源通信,2024-08-14,2024-08,2板补涨阴,False,,U坑内,,False,炸板,-4.71,-2.55,-2.55,-16.88,-16.88,0.0,4,++-,2,-1.52,0.83,25.0,False,,False,False,False
000592.SZSE,平潭发展,2025-10-23,2025-10,2板补涨阴,False,,U坑内,,False,连板,7.51,9.93,55.93,-8.09,-8.09,0.0,3,+++,2,-5.06,1.01,51.0,True,05,True,True,False
000593.SZSE,德龙汇能,2026-05-27,2026-05,2板补涨阴,False,,U坑内,,True,炸板,-4.66,-7.2,-7.2,-18.63,-18.63,0.0,18,--+,2,-7.17,0.0,45.0,False,,False,False,False
000595.SZSE,新能股份,2024-03-05,2024-03,2板补涨阴,False,,U坑内,,True,封D1正,0.99,6.55,6.55,-7.29,-9.31,2.23,6,++-,2,-1.72,1.07,61.0,False,,True,False,False
000595.SZSE,新能股份,2024-08-21,2024-08,2板补涨阴,False,,U坑内,,True,封D1正,0.0,1.72,1.72,-10.6,-10.6,0.0,17,--+,2,-1.85,0.53,17.0,False,,True,False,False
000595.SZSE,新能股份,2026-07-22,2026-07,2板补涨阴,False,,U坑内,,True,连板,9.96,9.96,17.13,-26.92,-26.92,0.0,13,---,2,-2.98,0.64,83.0,True,05,True,True,False
000599.SZSE,青岛双星,2024-11-11,2024-11,2板补涨阴,False,,U坑内,,False,封D1正,4.53,0.17,0.17,-17.14,-19.37,2.76,9,-++,2,-1.51,0.94,95.0,False,,True,False,False
000601.SZSE,韶能股份,2025-04-14,2025-04,2板补涨阴,False,,U突破,,True,连板,3.05,10.04,5.56,-3.98,-7.01,3.26,16,-++,2,-4.52,2.26,64.0,True,05,True,True,False
000601.SZSE,韶能股份,2025-04-24,2025-04,2板补涨阴,False,,U坑内,,True,连板,1.58,9.98,8.72,-6.51,-6.51,0.0,7,+++,2,-2.71,1.19,52.0,True,05,True,True,False
000601.SZSE,韶能股份,2026-05-27,2026-05,2板补涨阴,True,U坑,U坑内,,False,封D1负,0.87,-0.25,-0.25,-17.87,-18.65,0.97,10,-++,2,-3.31,1.19,45.0,False,,True,False,False
000601.SZSE,韶能股份,2026-06-02,2026-06,2板补涨阴,False,,U坑内,,True,封D1正,-2.45,3.45,3.45,-8.2,-18.65,12.85,14,+++,2,-3.43,0.24,109.0,False,,True,False,False
000601.SZSE,韶能股份,2026-07-06,2026-07,2板补涨阴,False,,U坑内,,False,炸板,-4.96,-9.23,-9.23,-6.78,-6.78,0.0,2,+--,2,-6.78,0.0,92.0,False,,False,False,False
000602.SZSE,金马集团,2010-01-08,2010-01,2板补涨阴,False,,U坑内,,True,封D1正,0.2,6.45,6.45,-4.05,-4.05,0.0,6,+++,2,-3.84,0.38,0.0,False,,True,False,False
000603.SZSE,盛达资源,2026-02-24,2026-02,2板补涨阴,False,,U坑内,,True,封D1正,0.56,1.65,1.65,-20.21,-20.21,0.0,15,--+,2,-3.42,2.54,29.0,False,,True,False,False
000603.SZSE,盛达资源,2026-07-21,2026-07,2板补涨阴,False,,U坑内,,False,连板,1.75,9.99,20.86,-26.6,-26.6,0.0,14,---,2,-1.58,1.64,49.0,True,03,True,True,False
000608.SZSE,阳光股份,2024-11-18,2024-11,2板补涨阴,False,,U坑内,,True,封D1负,-1.89,-1.13,-1.13,-20.46,-20.46,0.0,6,+++,2,-4.37,1.98,53.0,False,,True,False,False
000617.SZSE,中油资本,2024-10-31,2024-10,2板补涨阴,True,U坑,U坑内,,False,炸板,-4.45,-10.24,-10.24,-12.45,-16.63,5.02,13,-++,2,-1.92,0.72,118.0,False,,False,False,False
000617.SZSE,中油资本,2025-08-27,2025-08,2板补涨阴,False,,无U,,True,炸板,-5.75,0.08,0.08,-0.92,-0.92,0.0,3,+++,2,-7.06,2.12,59.0,False,,False,False,False
000620.SZSE,盈新发展,2025-12-15,2025-12,2板补涨阴,False,,U坑内,,True,封D1正,-1.69,0.0,0.0,-29.77,-29.77,0.0,20,---,2,-2.18,1.45,67.0,False,,True,False,False
000620.SZSE,盈新发展,2026-01-16,2026-01,2板补涨阴,False,,U坑内,,True,封D1正,2.98,6.55,6.55,-8.41,-8.41,0.0,7,+++,2,-2.87,3.5,51.0,False,,True,False,False
000626.SZSE,远大控股,2024-10-28,2024-10,2板补涨阴,False,,无U,,True,封D1负,2.52,-0.3,-0.3,-0.32,-0.32,0.0,3,+++,2,-0.81,0.48,121.0,False,,True,False,False
000626.SZSE,远大控股,2024-12-05,2024-12,2板补涨阴,False,,U坑内,,False,封D1正,0.14,1.13,1.13,-15.17,-15.17,0.0,9,-++,2,-3.02,1.06,69.0,False,,True,False,False
000633.SZSE,合金投资,2025-11-18,2025-11,2板补涨阴,False,,U坑内,,False,封D1正,-2.77,3.14,3.14,-8.38,-8.38,0.0,2,+++,2,-8.38,2.19,69.0,False,,True,False,False
000633.SZSE,合金投资,2025-11-28,2025-11,2板补涨阴,False,,U坑内,,True,封D1负,0.23,-1.4,-1.4,-5.35,-8.38,3.32,10,-++,2,-3.71,1.11,41.0,False,,True,False,False
000636.SZSE,风华高科,2026-06-09,2026-06,2板补涨阴,False,,无U,,True,封D1负,3.0,-2.08,-2.08,34.2,0.77,33.17,11,+++,2,-6.91,2.08,45.0,False,,True,False,False
000636.SZSE,风华高科,2026-06-11,2026-06,2板补涨阴,False,,无U,,False,炸板,1.08,-10.14,-10.14,44.54,0.77,43.43,13,+++,2,-2.08,1.77,63.0,False,,False,False,False
000636.SZSE,风华高科,2026-06-15,2026-06,2板补涨阴,False,,无U,,True,封D1正,4.94,8.58,8.58,42.87,0.77,41.77,15,+++,2,-8.06,0.0,83.0,False,,True,False,False
000652.SZSE,泰达股份,2024-10-14,2024-10,2板补涨阴,False,,U坑内,,False,封D1负,-0.95,-5.71,-5.71,-13.18,-13.18,0.0,4,+++,2,-2.8,1.53,28.0,False,,True,False,False
000656.SZSE,金科股份,2023-07-05,2023-07,2板补涨阴,False,,U突破,,True,连板,0.74,10.37,11.85,4.24,-12.71,19.42,8,++-,2,0.82,0.0,42.0,True,05,True,True,False
000656.SZSE,金科股份,2023-07-21,2023-07,2板补涨阴,False,,U坑内,,True,连板,1.31,9.8,40.52,-6.71,-8.05,1.46,11,-++,2,-0.71,2.14,20.0,True,05,True,True,False
