vt_symbol,name,date,ym,res,D1开%,D1收%,板留%,地基,回撤%,蹲深%,弹回%,低点位置,振幅%,破顶,断板,上波高,昨幅%,昨上影%,昨涨停家,is_wv,is_lim,n1_lim
600152.SSE,维科技术,2025-07-16,2025-07,炸板,-7.67,-7.11,-7.11,DN·阴跌到点,-14.32,-14.32,0.0,1.0,20.86,True,12,2,-3.12,0.74,38.0,False,False,False
600152.SSE,维科技术,2026-04-24,2026-04,连板,3.63,10.03,11.88,HIGH·新高贴顶,-0.93,-0.93,0.0,1.0,18.25,True,8,2,-6.06,1.12,45.0,True,True,True
600156.SSE,华升股份,2024-09-04,2024-09,封D1正,-2.16,1.35,1.35,FLAT·横盘平台,-7.18,-7.18,0.0,1.0,1.49,False,3,2,-1.47,0.29,33.0,False,True,False
600156.SSE,华升股份,2024-09-09,2024-09,封D1负,4.21,-0.53,-0.53,MID·中位浅调,-4.7,-7.18,2.68,0.25,11.61,True,6,2,-8.0,0.27,26.0,False,True,False
600156.SSE,华升股份,2025-08-28,2025-08,封D1正,6.69,4.18,4.18,HIGH·新高贴顶,-3.77,-3.77,0.0,1.0,10.7,True,5,2,-7.94,2.33,39.0,False,True,False
600157.SSE,永泰能源,2024-11-18,2024-11,封D1负,0.0,-1.75,-1.75,DN·阴跌到点,-8.28,-8.28,0.0,1.0,14.19,True,8,2,-1.9,1.9,53.0,False,True,False
600162.SSE,香江控股,2025-10-15,2025-10,封D1负,4.37,-3.06,-3.06,LB·L趴底,-27.78,-28.12,0.48,0.45454545454545453,44.44,True,13,5,-0.95,3.33,34.0,False,True,False
600162.SSE,香江控股,2025-10-21,2025-10,封D1正,0.0,1.7,1.7,MID·中位浅调,-25.69,-28.12,3.38,0.3333333333333333,44.44,True,17,5,-1.83,0.92,66.0,False,True,False
600162.SSE,香江控股,2026-06-18,2026-06,连板,3.35,10.06,8.38,HIGH·新高贴顶,16.49,4.66,11.3,0.0,26.71,True,14,5,-6.88,0.57,67.0,True,True,True
600162.SSE,香江控股,2026-06-25,2026-06,炸板,-15.85,-22.93,-22.93,FLAT·横盘平台,-5.33,-5.33,0.0,1.0,4.02,False,3,2,-3.87,3.09,87.0,False,False,False
600162.SSE,香江控股,2026-07-30,2026-07,连板,-0.69,10.03,7.27,MID·中位浅调,-14.05,-16.67,3.14,0.2857142857142857,9.8,False,9,3,-1.87,2.24,73.0,True,True,True
