vt_symbol,name,g2,n1_date,touch,seal,ret_d1,ret_bw
600609.SSE,金杯汽车,yin2,2024-11-11,10:15,True,-0.04856787048567868,-0.04856787048567868
600609.SSE,金杯汽车,yin2,2024-11-14,09:45,False,-0.1367924528301887,-0.1367924528301887
600609.SSE,金杯汽车,yin2,2024-11-19,11:15,True,0.0,0.0
600610.SSE,中毅达,yang2,2025-03-24,10:15,True,0.10045662100456632,0.19748858447488593
600610.SSE,中毅达,yin2,2025-04-28,10:30,True,0.0786290322580645,0.0786290322580645
600610.SSE,中毅达,yang2,2025-05-06,11:15,False,0.08270042194092841,0.11054852320675113
600610.SSE,中毅达,yang2,2025-05-07,14:00,True,0.025720966484801266,0.025720966484801266
600610.SSE,中毅达,yin2,2025-06-16,15:00,True,-0.022556390977443663,-0.022556390977443663
600611.SSE,大众交通,yin2,2024-08-21,14:45,False,-0.012833168805528206,-0.012833168805528206
600611.SSE,大众交通,yang2,2024-09-30,13:15,True,0.09961685823754785,0.14814814814814814
600613.SSE,神奇制药,yang2,2024-10-25,09:45,True,0.09959623149394359,0.12786002691790066
600615.SSE,鑫源智造,yang2,2024-11-12,09:45,False,-0.046801872074882955,-0.046801872074882955
600617.SSE,国新能源,yin2,2025-10-17,10:15,True,0.10000000000000009,0.15999999999999992
600617.SSE,国新能源,yang2,2025-11-14,10:00,True,0.0314009661835748,0.0314009661835748
600618.SSE,氯碱化工,yang2,2025-01-10,14:30,False,-0.06300484652665594,-0.06300484652665594
600619.SSE,海立股份,yin2,2025-03-10,10:15,True,0.032467532467532534,0.032467532467532534
600619.SSE,海立股份,yang2,2025-03-27,10:15,True,-0.008810572687224627,-0.008810572687224627
600629.SSE,华建集团,yang2,2026-07-28,10:00,True,-0.056589724497393856,-0.056589724497393856
600629.SSE,华建集团,yin2,2026-07-30,10:30,True,0.049497847919655724,0.049497847919655724
600635.SSE,大众公用,yin2,2025-10-20,09:45,True,0.03352769679300294,0.03352769679300294
600635.SSE,大众公用,yang2,2025-10-31,10:30,True,-0.021419009370816644,-0.021419009370816644
600641.SSE,先导基电,yin2,2024-11-04,10:45,False,0.03427172582619331,0.03427172582619331
600641.SSE,先导基电,yin2,2026-08-27,11:15,True,0.0235294117647058,0.0235294117647058
600644.SSE,乐山电力,yang2,2025-05-27,13:30,True,-0.035756853396901156,-0.035756853396901156
600644.SSE,乐山电力,yang2,2025-06-10,10:30,True,-0.06560283687943269,-0.06560283687943269
600644.SSE,乐山电力,yin2,2026-07-22,15:00,True,-0.016037735849056545,-0.016037735849056545
600644.SSE,乐山电力,yin2,2026-07-29,10:30,False,-0.09000000000000008,-0.09000000000000008
600644.SSE,乐山电力,yang2,2026-08-03,14:15,True,0.013605442176870763,0.013605442176870763
600650.SSE,锦江在线,yang2,2024-09-30,13:15,True,0.09976433621366843,0.13982717989002347
600653.SSE,申华控股,yang2,2024-12-02,11:15,True,0.025210084033613578,0.025210084033613578
600653.SSE,申华控股,yang2,2024-12-06,10:15,True,0.011111111111111072,0.011111111111111072
600658.SSE,电子城,yang2,2025-09-17,13:15,True,-0.04963503649635037,-0.04963503649635037
600665.SSE,天地源,yin2,2026-07-10,11:15,False,-0.11515151515151512,-0.11515151515151512
600666.SSE,奥瑞德,yang2,2024-11-20,10:30,True,-0.007042253521126751,-0.007042253521126751
600666.SSE,奥瑞德,yin2,2024-12-05,13:15,True,0.034965034965035,0.034965034965035
600666.SSE,奥瑞德,yin2,2026-03-27,10:00,True,0.026315789473684292,0.026315789473684292
600666.SSE,奥瑞德,yin2,2026-04-01,09:45,True,-0.015948963317384268,-0.015948963317384268
600666.SSE,奥瑞德,yin2,2026-04-16,10:30,True,0.0350364963503651,0.0350364963503651
600667.SSE,太极实业,yang2,2026-07-01,10:00,True,-0.09999999999999998,-0.09999999999999998
600676.SSE,久事动娱,yang2,2025-06-24,09:45,False,-0.06187624750498999,-0.06187624750498999
600681.SSE,百川能源,yin2,2025-11-03,09:45,True,0.03879310344827602,0.03879310344827602
600681.SSE,百川能源,yin2,2025-11-11,13:15,True,0.10040160642570273,0.06224899598393563
600682.SSE,南京新百,yang2,2025-08-19,09:45,True,0.0,0.0
600691.SSE,潞化科技,yin2,2026-03-17,09:45,True,-0.06355932203389825,-0.06355932203389825
600691.SSE,潞化科技,yin2,2026-04-07,10:45,True,-0.0119760479041916,-0.0119760479041916
600692.SSE,亚通股份,yin2,2025-01-14,10:00,True,-0.0021905805038336945,-0.0021905805038336945
600693.SSE,东百集团,yin2,2024-12-16,10:15,True,-0.10073260073260071,-0.10073260073260071
600693.SSE,东百集团,yin2,2025-03-10,10:15,False,0.022284122562674202,0.022284122562674202
600693.SSE,东百集团,yin2,2025-05-08,13:45,True,-0.06293706293706292,-0.06293706293706292
600698.SSE,湖南天雁,yin2,2024-09-09,13:30,True,-0.05773672055427248,-0.05773672055427248
600698.SSE,湖南天雁,yin2,2024-09-23,13:15,True,0.024070021881837933,0.024070021881837933
600698.SSE,湖南天雁,yin2,2025-08-13,09:45,True,0.007757404795486478,0.007757404795486478
600699.SSE,均胜电子,yang2,2025-09-16,09:45,True,0.10006561679790038,0.2171916010498689
600703.SSE,三安光电,yin2,2026-06-22,09:45,True,0.027993779160186527,0.027993779160186527
600703.SSE,三安光电,yang2,2026-06-24,10:00,True,-0.006419073819348808,-0.006419073819348808
600706.SSE,曲江文旅,yin2,2025-06-26,15:00,True,-0.03700189753320671,-0.03700189753320671
600707.SSE,彩虹股份,yang2,2026-04-17,09:45,True,0.1001283697047497,0.08472400513478817
600707.SSE,彩虹股份,yin2,2026-04-27,14:30,True,-0.024774774774774855,-0.024774774774774855
600707.SSE,彩虹股份,yin2,2026-05-07,10:00,True,-0.017699115044247593,-0.017699115044247593
600707.SSE,彩虹股份,yang2,2026-05-13,09:45,True,0.030622009569378106,0.030622009569378106
600711.SSE,盛屯矿业,yin2,2025-10-15,09:45,False,-0.06195462478184999,-0.06195462478184999
600714.SSE,金瑞矿业,yin2,2025-03-11,10:15,False,-0.06534954407294824,-0.06534954407294824
600714.SSE,金瑞矿业,yang2,2026-03-12,13:15,True,0.04455653635981505,0.04455653635981505
600714.SSE,金瑞矿业,yang2,2026-05-11,10:15,False,-0.00039354584809137005,-0.00039354584809137005
600714.SSE,金瑞矿业,yang2,2026-05-18,10:00,True,-0.00649350649350644,-0.00649350649350644
600719.SSE,大连热电,yang2,2026-05-12,10:30,True,0.019774011299435124,0.019774011299435124
600719.SSE,大连热电,yin2,2026-05-22,11:15,True,0.03720405862457721,0.03720405862457721
600722.SSE,金牛化工,yin2,2026-07-22,10:00,True,0.09989909182643797,0.15338042381432881
600722.SSE,金牛化工,yang2,2026-08-10,13:15,True,-0.031150159744408823,-0.031150159744408823
600722.SSE,金牛化工,yin2,2026-08-18,10:00,True,-0.013824884792626668,-0.013824884792626668
600724.SSE,宁波富达,yin2,2024-10-30,09:45,False,0.03130755064456725,0.03130755064456725
600724.SSE,宁波富达,yang2,2024-10-31,10:00,False,-0.08047945205479445,-0.08047945205479445
600728.SSE,佳都科技,yang2,2025-03-12,13:30,False,-0.06635071090047395,-0.06635071090047395
600729.SSE,重百集团,yang2,2025-03-14,13:15,False,-0.07877208224732124,-0.07877208224732124
600732.SSE,爱旭股份,yang2,2024-11-06,11:00,False,-0.05592347314201618,-0.05592347314201618
600732.SSE,爱旭股份,yang2,2024-11-08,09:45,True,0.09992912827781719,0.15733522324592486
600748.SSE,上实发展,yin2,2025-10-20,10:15,False,0.06686046511627897,0.12354651162790709
600748.SSE,上实发展,yang2,2025-10-21,11:00,True,0.053133514986376085,0.053133514986376085
600748.SSE,上实发展,yin2,2025-10-29,10:00,True,0.03052325581395343,0.03052325581395343
600748.SSE,上实发展,yin2,2026-05-29,10:00,False,-0.09523809523809534,-0.09523809523809534
600758.SSE,辽宁能源,yang2,2026-06-01,15:00,True,0.01744186046511631,0.01744186046511631
600760.SSE,中航沈飞,yang2,2024-11-05,09:45,True,0.09992542878448907,0.03504847129008204
600760.SSE,中航沈飞,yin2,2024-11-08,10:00,True,-0.019485835925986517,-0.019485835925986517
600769.SSE,祥龙电业,yang2,2024-10-31,09:45,True,-0.030063291139240556,-0.030063291139240556
600769.SSE,祥龙电业,yang2,2024-11-08,09:45,True,-0.03860711582134757,-0.03860711582134757
600769.SSE,祥龙电业,yin2,2024-11-13,13:45,True,0.06574923547400613,0.06574923547400613
600769.SSE,祥龙电业,yang2,2025-10-22,09:45,False,-0.08613046231792265,-0.08613046231792265
600769.SSE,祥龙电业,yin2,2026-03-27,10:00,True,0.02941176470588247,0.02941176470588247
600769.SSE,祥龙电业,yin2,2026-06-25,10:15,False,-0.05839746491625164,-0.05839746491625164
600770.SSE,综艺股份,yin2,2024-10-11,13:30,True,-0.0401069518716578,-0.0401069518716578
600770.SSE,综艺股份,yang2,2024-10-17,10:00,True,0.10052910052910069,0.27513227513227534
600770.SSE,综艺股份,yin2,2026-04-28,10:00,True,0.030026109660574285,0.030026109660574285
600770.SSE,综艺股份,yin2,2026-05-06,10:00,True,-0.02505966587112185,-0.02505966587112185
600770.SSE,综艺股份,yin2,2026-05-11,09:45,False,-0.06380510440835252,-0.06380510440835252
600775.SSE,南京熊猫,yin2,2024-11-29,10:30,True,0.04931972789115657,0.04931972789115657
600775.SSE,南京熊猫,yin2,2024-12-18,10:15,True,0.0,0.0
600778.SSE,友好集团,yin2,2024-08-28,09:45,True,-0.045544554455445474,-0.045544554455445474
