vt_symbol,name,g4,n1_date,h,lim3,vr_d0,vr_d1,gap_d1,bias10,tseg,B,ret_bw,A_B
000676.SZSE,智度股份,yin2,2024-10-21,3,True,1.1695311386664546,0.5422073558938731,0.05471124620060808,12.658372331925571,中,0.2107396149949341,0.10739614994934144,-0.10334346504559266
000679.SZSE,大连友谊,yin2,2025-01-13,2,False,1.1594873241921617,1.4676916869997247,0.0587188612099645,-4.535417020553767,午,0.08185053380782925,0.15658362989323837,0.07473309608540912
000710.SZSE,贝瑞基因,yin2,2025-02-14,2,False,0.9456250228073955,0.6182145014017708,0.09965635738831624,18.78763139095827,早,0.09965635738831624,-0.010309278350515538,-0.10996563573883178
000723.SZSE,美锦能源,yang2,2024-02-29,2,False,2.0012343955722236,3.850327552858884,0.10058309037900859,12.736236647493836,,0.10058309037900859,0.04081632653061207,-0.05976676384839652
000737.SZSE,北方铜业,yang2,2024-04-02,2,False,1.1637247067525196,1.8135533756338682,0.03567787971457692,21.742367833209244,,0.16513761467889898,0.18348623853210988,0.0183486238532109
000753.SZSE,漳州发展,yang2,2025-11-04,2,False,0.41428422201938453,1.6463998980429162,0.010869565217391353,13.049889407716876,早,0.0869565217391306,-0.009782608695652173,-0.09673913043478277
000766.SZSE,通化金马,yin2,2023-09-11,5,True,0.506786756899187,1.3966695888359033,0.0829439252336448,13.227513227513231,,0.1320093457943925,0.5794392523364484,0.44742990654205594
000766.SZSE,通化金马,yang4,2023-10-12,2,False,0.8481029991248626,0.9014406564857397,0.04854368932038833,9.359686377000997,,0.13517550410754287,0.06945481702763256,-0.0657206870799103
000766.SZSE,通化金马,yang2,2023-12-04,2,False,0.8309733970416836,1.235642857533602,0.030729166666666696,12.333255324128235,,0.13437500000000013,0.15208333333333335,0.017708333333333215
000767.SZSE,晋控电力,yang2,2026-05-29,2,False,0.9670996451386179,1.7822199386602846,0.10035842293906794,12.296236667337501,早,0.10215053763440873,0.09498207885304666,-0.007168458781362075
000803.SZSE,山高环能,yang2,2024-11-22,2,False,1.8116339168866102,1.7629029021685894,0.02333931777378817,10.801670976725685,早,0.10053859964093359,0.019748653500897495,-0.0807899461400361
000815.SZSE,美利云,yin4,2026-07-31,3,True,0.5322261899944475,0.9210626229712845,0.04743083003952564,-1.7157656199417226,早,0.18577075098814233,0.24176548089591576,0.05599472990777343
000880.SZSE,潍柴重机,yin2,2024-12-25,2,False,2.7942861303016717,0.9282736702932589,-0.038004750593824244,28.54961832061069,早,0.12470308788598583,0.13420427553444192,0.009501187648456089
000880.SZSE,潍柴重机,yang2,2025-01-20,2,False,0.37695122970046335,2.496943949927098,0.024390243902439046,11.141230685822713,早,0.10439024390243912,0.0843902439024391,-0.020000000000000018
000882.SZSE,华联股份,yin2,2025-01-02,2,False,1.6846681440212763,3.26304795778735,0.004366812227074135,5.238970588235303,早,0.06986899563318794,-0.008733624454148492,-0.07860262008733643
000882.SZSE,华联股份,yin2,2025-01-20,5,True,1.1357150488329755,1.0324245633733913,0.03515625,8.75106202209006,早,0.12890625,0.3203125,0.19140625
000890.SZSE,法尔胜,yang2,2023-08-01,2,False,1.5274804750673434,1.0061739404604861,0.1001855287569573,18.853362734288858,,-0.009276437847866359,-0.009276437847866359,0.0
000892.SZSE,欢瑞世纪,yin2,2025-11-21,4,True,0.5486394593334238,3.7567086080238377,0.051912568306010876,1.582014987510405,早,0.06693989071038242,0.1994535519125682,0.13251366120218577
000901.SZSE,航天科技,yin2,2025-08-08,2,False,0.8146522345143732,0.5246479768639136,0.050737463126843574,19.60203217612193,早,0.2106194690265486,0.12979351032448383,-0.08082595870206477
000917.SZSE,电广传媒,yin2,2023-06-12,2,False,0.6509188685455843,1.1353606406759638,0.023573200992555776,17.134137480017444,,0.11910669975186083,0.04094292803970223,-0.0781637717121586
000948.SZSE,南天信息,yin2,2024-09-19,2,False,1.9942867780716924,0.33364489415569054,0.06350148367952513,18.428450941804897,中,0.18872403560830864,0.13887240356083086,-0.04985163204747778
000948.SZSE,南天信息,yang2,2024-09-30,2,False,1.0105225450832904,1.1451935094089287,0.09994711792702282,9.186442635256075,午,0.11634056054997344,0.1306187202538338,0.014278159703860371
000953.SZSE,中哲精化,yin2,2024-11-25,2,False,1.3006666195476226,4.10110447536565,0.06976744186046524,3.0414746543778737,早,0.09123434704830058,0.1520572450805009,0.06082289803220031
000969.SZSE,安泰科技,yin4,2025-10-27,2,False,0.6903231773413256,0.4141925789786378,0.08089995213020562,3.85800934672369,早,0.13547151747247477,0.1258975586404978,-0.00957395883197698
000980.SZSE,众泰汽车,yang2,2023-07-31,2,False,0.6873710619925397,1.3437274907997045,0.0,6.563332526035381,,0.1090909090909089,0.05227272727272725,-0.05681818181818166
000981.SZSE,山子高科,yin4,2024-12-04,5,True,1.5990790408662623,0.742138416217357,0.042857142857142705,16.21472053126731,早,0.20952380952380945,0.4285714285714286,0.21904761904761916
000981.SZSE,山子高科,yang2,2025-09-12,5,True,1.7570608317325576,1.0075190882222,0.07581227436823101,10.6671993607671,早,0.1407942238267148,0.3971119133574008,0.256317689530686
001202.SZSE,炬申股份,yin2,2026-01-21,2,False,1.281797197079786,1.3790693672325685,0.045071817731550334,9.829733993363444,早,0.15304606240713214,0.00544824170381375,-0.1475978207033184
001210.SZSE,金房能源,yang2,2026-06-01,2,False,0.8055757028359768,1.2544146798116722,0.07430617726051936,11.95002171516386,早,0.044464339003282616,0.0713219934347955,0.02685765443151289
001211.SZSE,双枪科技,yang2,2026-05-11,2,False,1.006738196037876,1.0622787916616425,0.016844700082169206,19.957615632931656,中,0.14708299096138044,0.08278553820870993,-0.06429745275267051
001212.SZSE,中旗新材,yin4,2025-04-21,2,False,0.8391713656931428,0.3552495625364553,0.03501217000561696,3.604127870887641,中,0.10185358547088574,0.04662048305560762,-0.055233102415278124
001229.SZSE,魅视科技,yin4,2024-03-13,2,False,2.0360082058159117,1.104463041302626,0.0036262203626218348,8.033992285438774,,0.1436541143654113,0.06610878661087849,-0.07754532775453282
001229.SZSE,魅视科技,yin2,2026-07-07,2,False,0.20641489677555339,0.13309198315416576,0.09994848016486357,13.90845070422535,早,0.2078825347758888,0.171303451828954,-0.03657908294693479
001229.SZSE,魅视科技,yin2,2026-08-03,2,False,0.33132633900115427,1.6937732164056216,0.04859919954259584,-1.4953113119878458,早,0.13093196112064054,0.20983419096626665,0.07890222984562612
