vt_symbol,name,g4,trade_date,n1_date,h,seal,a1,a2,st3,st3c,bias10,bias20,bias30,vr_d0,vr_tm1,touch,tseg
002181.SZSE,粤 传 媒,yin2,2026-05-25,2026-05-26,1,True,False,False,-+,混合,<-5,<-5,<-5,1.305893073768013,0.6474223805480643,13:15,午13:00~14:00
002181.SZSE,粤 传 媒,yang2,2026-05-29,2026-06-01,1,True,False,False,-+,混合,>5,>5,>5,1.1805118918009916,1.0800622046159603,10:00,早09:30~10:30
002183.SZSE,怡 亚 通,yang2,2024-10-30,2024-10-31,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.4147126512765873,2.069125244519451,10:15,早09:30~10:30
002185.SZSE,华天科技,yang2,2024-10-28,2024-10-29,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.7825625109787409,1.459057250031596,09:45,早09:30~10:30
002187.SZSE,广百股份,yang2,2024-12-11,2024-12-12,2,True,True,False,++,全多(10>20>30),>5,>5,>5,0.7819167944974884,0.9741092611607378,10:00,早09:30~10:30
002187.SZSE,广百股份,yang2,2024-12-25,2024-12-26,1,True,False,False,++,全多(10>20>30),0~5,0~5,>5,1.5978002778718756,1.1618233766111203,14:45,尾14:00~15:00
002187.SZSE,广百股份,yin2,2025-01-09,2025-01-10,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0168444639685204,1.0053406719122002,14:15,尾14:00~15:00
002187.SZSE,广百股份,yang2,2025-01-14,2025-01-15,2,True,True,False,++,全多(10>20>30),>5,>5,>5,1.3450171556328563,1.18045737173774,11:00,中10:30~11:30
002187.SZSE,广百股份,yin2,2025-12-03,2025-12-04,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.4744843970201034,0.8276543751576108,10:15,早09:30~10:30
002187.SZSE,广百股份,yin2,2025-12-12,2025-12-15,2,True,True,False,++,全多(10>20>30),-5~0,0~5,>5,0.8138330585499047,0.6309599396947452,11:30,中10:30~11:30
002187.SZSE,广百股份,yang2,2026-01-08,2026-01-09,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0054607952917893,0.8816271063112574,09:45,早09:30~10:30
002188.SZSE,中天服务,yin2,2024-05-28,2024-05-29,1,True,False,False,++,全多(10>20>30),-5~0,>5,>5,0.6293802698174012,0.5713532457018684,,
002188.SZSE,中天服务,yin2,2024-06-06,2024-06-07,1,True,False,False,-+,混合,<-5,<-5,<-5,0.3892704093525309,0.6268845571252735,,
002189.SZSE,中光学,yin2,2024-03-27,2024-03-28,0,False,False,False,++,全多(10>20>30),-5~0,0~5,>5,0.9615396198413014,0.43622064624830903,,
002189.SZSE,中光学,yin2,2025-06-27,2025-06-30,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.731690194407593,4.3455519835864775,10:00,早09:30~10:30
002190.SZSE,成飞集成,yin4,2025-06-12,2025-06-13,1,True,False,False,-+,混合,0~5,0~5,>5,1.7901776926935506,0.4478220862260658,15:00,尾14:00~15:00
002192.SZSE,融捷股份,yang4,2026-04-16,2026-04-17,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.0313108458681388,0.9279790558567047,09:45,早09:30~10:30
002192.SZSE,融捷股份,yin4,2026-04-23,2026-04-24,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.9841149848311533,0.663991626590276,11:00,中10:30~11:30
002194.SZSE,武汉凡谷,yin2,2023-10-11,2023-10-12,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.9884096344913291,1.4691318862208178,,
002194.SZSE,武汉凡谷,yin2,2023-10-20,2023-10-23,1,True,False,False,++,全多(10>20>30),-5~0,0~5,>5,0.32482628005041675,0.5094512239800864,,
002194.SZSE,武汉凡谷,yang2,2025-04-24,2025-04-25,0,False,False,False,+-,混合,>5,>5,>5,1.7858804519963376,1.8988132924033139,10:15,早09:30~10:30
002194.SZSE,武汉凡谷,yang2,2025-05-08,2025-05-09,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.3985422429258891,0.9112050731110426,13:30,午13:00~14:00
002194.SZSE,武汉凡谷,yang2,2025-05-16,2025-05-19,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.062714863937416,0.5634385664500425,14:00,午13:00~14:00
002195.SZSE,岩山科技,yin4,2024-12-17,2024-12-18,1,True,False,False,++,全多(10>20>30),-5~0,>5,>5,1.0080963251800947,0.5663144368077239,10:45,中10:30~11:30
002195.SZSE,岩山科技,yin2,2025-09-02,2025-09-03,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.2413390145915928,0.91073445161049,10:15,早09:30~10:30
002195.SZSE,岩山科技,yin4,2026-01-13,2026-01-14,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.3835224373637012,1.8902177963303017,10:00,早09:30~10:30
002196.SZSE,方正电机,yin2,2024-04-08,2024-04-09,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.5160781367392937,0.9653322780470412,,
002199.SZSE,东晶电子,yin2,2024-08-23,2024-08-26,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.3368084480815408,1.1392752710059937,13:45,午13:00~14:00
002199.SZSE,东晶电子,yang4,2024-10-30,2024-10-31,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.544637148960721,0.692110749067273,09:45,早09:30~10:30
002199.SZSE,东晶电子,yang4,2024-11-07,2024-11-08,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.7037470475167724,0.5905080302262563,11:00,中10:30~11:30
002199.SZSE,东晶电子,yin2,2026-07-27,2026-07-28,2,True,True,False,--,全空(10<20<30),>5,>5,0~5,1.0148600132821355,3.2514620105401644,09:45,早09:30~10:30
002201.SZSE,九鼎新材,yin4,2026-01-07,2026-01-08,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,1.0365320344196545,0.5240609056616146,10:00,早09:30~10:30
002201.SZSE,九鼎新材,yin4,2026-01-13,2026-01-14,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.6480675306419571,0.913434275457771,10:15,早09:30~10:30
002201.SZSE,九鼎新材,yang4,2026-01-23,2026-01-26,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.287409351950776,1.662081149702968,14:45,尾14:00~15:00
002201.SZSE,九鼎新材,yin2,2026-02-10,2026-02-11,0,False,False,False,-+,混合,-5~0,-5~0,>5,1.8121234159953834,0.9116945950760994,09:45,早09:30~10:30
002202.SZSE,金风科技,yang4,2026-01-22,2026-01-23,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,0.8536489247213717,1.1996773370283627,10:45,中10:30~11:30
002203.SZSE,海亮股份,yin2,2026-06-17,2026-06-18,1,True,False,False,+-,混合,>5,>5,>5,0.7567859593650835,1.0872713445903257,10:15,早09:30~10:30
002205.SZSE,国统股份,yang2,2025-08-07,2025-08-08,2,True,True,False,++,全多(10>20>30),>5,>5,>5,1.789577972539839,0.5796417080330214,13:30,午13:00~14:00
002208.SZSE,合肥城建,yang4,2024-10-30,2024-10-31,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.540155244636507,0.5312228676159195,14:15,尾14:00~15:00
002208.SZSE,合肥城建,yin2,2024-11-20,2024-11-21,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.6293318333405618,0.803591931741061,13:15,午13:00~14:00
002208.SZSE,合肥城建,yin2,2026-07-08,2026-07-09,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,0.31532381866479414,0.48816409782488895,09:45,早09:30~10:30
002208.SZSE,合肥城建,yin2,2026-07-23,2026-07-24,1,True,False,False,-+,混合,<-5,<-5,<-5,0.8489928666401103,0.843935676122155,10:00,早09:30~10:30
002210.SZSE,飞马国际,yin2,2024-10-29,2024-10-30,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.1627169563226245,1.3066838883046314,11:00,中10:30~11:30
002210.SZSE,飞马国际,yang2,2024-11-04,2024-11-05,2,True,True,False,++,全多(10>20>30),>5,>5,>5,0.4804534971217705,0.34206661268108157,09:45,早09:30~10:30
002210.SZSE,飞马国际,yin2,2025-09-02,2025-09-03,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.5336606413299287,2.214354488332994,13:15,午13:00~14:00
002210.SZSE,飞马国际,yang2,2025-09-15,2025-09-16,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0133851350460237,0.8055285554496558,10:15,早09:30~10:30
002210.SZSE,飞马国际,yang2,2025-09-18,2025-09-19,0,False,False,False,++,全多(10>20>30),>5,>5,>5,2.350242490049973,1.434360719809123,09:45,早09:30~10:30
002210.SZSE,飞马国际,yang2,2025-09-22,2025-09-23,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.2509697826552113,1.3123581719457886,10:30,早09:30~10:30
002210.SZSE,飞马国际,yin2,2025-09-24,2025-09-25,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.9365442421569239,0.9197350377303194,09:45,早09:30~10:30
002212.SZSE,天融信,yang2,2024-10-25,2024-10-28,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0077009282173361,0.5784462599294756,09:45,早09:30~10:30
002212.SZSE,天融信,yin2,2024-10-29,2024-10-30,1,True,False,False,++,全多(10>20>30),>5,>5,>5,2.135569196438931,3.707112808250427,11:00,中10:30~11:30
002212.SZSE,天融信,yin2,2025-08-25,2025-08-26,2,True,True,False,++,全多(10>20>30),>5,>5,>5,2.7515283898613885,6.677666066072605,10:00,早09:30~10:30
002212.SZSE,天融信,yang2,2026-08-05,2026-08-06,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.7585676998356568,0.6585183903043549,09:45,早09:30~10:30
002212.SZSE,天融信,yin2,2026-08-10,2026-08-11,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.7013265694597407,0.9614969090862469,09:45,早09:30~10:30
002213.SZSE,大为股份,yin2,2024-04-02,2024-04-03,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,1.7068890113198116,0.6766670699087329,,
002213.SZSE,大为股份,yin2,2024-04-22,2024-04-23,0,False,False,False,--,全空(10<20<30),-5~0,<-5,<-5,1.5855332451318955,0.6298448234172984,,
002213.SZSE,大为股份,yin2,2024-12-25,2024-12-26,1,True,False,False,-+,混合,0~5,0~5,>5,0.6905182777481279,0.5318726823054181,11:15,中10:30~11:30
002213.SZSE,大为股份,yin2,2025-01-02,2025-01-03,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.1861655884112952,0.9071181849917639,10:00,早09:30~10:30
002213.SZSE,大为股份,yang2,2026-04-13,2026-04-14,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.42167247193831947,1.0894391106619505,09:45,早09:30~10:30
002213.SZSE,大为股份,yin2,2026-04-15,2026-04-16,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.864111080387374,1.3322700651650052,10:00,早09:30~10:30
002213.SZSE,大为股份,yang2,2026-08-04,2026-08-05,1,True,False,False,--,全空(10<20<30),>5,0~5,-5~0,1.4611964745339676,0.9397122115487667,10:00,早09:30~10:30
002214.SZSE,大立科技,yin2,2026-08-19,2026-08-20,0,False,False,False,++,全多(10>20>30),-5~0,0~5,>5,2.355071831523108,0.9143905100058379,13:45,午13:00~14:00
002218.SZSE,拓日新能,yang2,2024-05-28,2024-05-29,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.3244953962133943,1.492730258951514,,
002218.SZSE,拓日新能,yang2,2026-01-22,2026-01-23,3,True,True,True,++,全多(10>20>30),>5,>5,>5,0.33386108398780434,0.8116103078464987,09:45,早09:30~10:30
002218.SZSE,拓日新能,yin2,2026-03-30,2026-03-31,1,True,False,False,+-,混合,>5,>5,>5,1.177071462982426,0.8272351129844667,09:45,早09:30~10:30
002219.SZSE,新里程,yin2,2024-10-09,2024-10-10,0,False,False,False,++,全多(10>20>30),>5,>5,>5,2.0458952385748774,4.307053672236308,09:45,早09:30~10:30
002222.SZSE,福晶科技,yang2,2023-04-13,2023-04-14,0,False,False,False,--,全空(10<20<30),>5,,,1.1951549125812504,1.008713244853378,,
002222.SZSE,福晶科技,yang2,2023-04-19,2023-04-20,1,True,False,False,--,全空(10<20<30),>5,,,1.1175903912189253,0.8393658326143227,,
002228.SZSE,合兴包装,yang4,2026-01-09,2026-01-12,0,False,False,False,++,全多(10>20>30),-5~0,0~5,>5,1.3903602372104122,0.6722294078744027,09:45,早09:30~10:30
002229.SZSE,鸿博股份,yin4,2023-06-02,2023-06-05,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.7298656853169395,1.2438101432625717,,
002229.SZSE,鸿博股份,yin4,2023-06-06,2023-06-07,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.6123747368711984,1.2999013859930428,,
002229.SZSE,鸿博股份,yin2,2023-07-28,2023-07-31,1,True,False,False,--,全空(10<20<30),>5,0~5,0~5,0.5566947304865301,0.765757501016334,,
002229.SZSE,鸿博股份,yin2,2023-08-01,2023-08-02,1,True,False,False,--,全空(10<20<30),>5,>5,>5,1.24012933286755,1.2964526826145268,,
002229.SZSE,鸿博股份,yin2,2023-08-11,2023-08-14,2,True,True,False,++,全多(10>20>30),0~5,>5,>5,0.7547128040807458,0.5557583648129502,,
002229.SZSE,鸿博股份,yang2,2023-08-18,2023-08-21,2,True,True,False,++,全多(10>20>30),>5,>5,>5,0.8416563748415176,1.0163818693805602,,
002229.SZSE,鸿博股份,yin2,2023-09-14,2023-09-15,1,True,False,False,-+,混合,-5~0,-5~0,-5~0,1.1522452428111738,0.9145913485751848,,
002229.SZSE,鸿博股份,yin2,2024-02-23,2024-02-26,1,True,False,False,--,全空(10<20<30),>5,>5,>5,0.8558230570409819,1.3303633741423715,,
002229.SZSE,鸿博股份,yin2,2024-03-13,2024-03-14,1,True,False,False,++,全多(10>20>30),>5,>5,>5,2.2132766874759717,1.0907695789046037,,
002229.SZSE,鸿博股份,yang2,2024-10-21,2024-10-22,1,True,False,False,++,全多(10>20>30),>5,>5,>5,2.634571251664435,1.0464493953018013,13:15,午13:00~14:00
002229.SZSE,鸿博股份,yang2,2024-11-07,2024-11-08,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.992848468492781,0.6203924868214652,10:15,早09:30~10:30
002229.SZSE,鸿博股份,yin2,2024-11-21,2024-11-22,0,False,False,False,++,全多(10>20>30),0~5,0~5,>5,2.00925073996666,0.6397562403777056,11:00,中10:30~11:30
002229.SZSE,鸿博股份,yin4,2025-05-21,2025-05-22,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,1.3892004652966266,0.8886829127849244,11:30,中10:30~11:30
002229.SZSE,鸿博股份,yang4,2025-05-28,2025-05-29,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.9668155665344923,1.1520877751326764,10:15,早09:30~10:30
002229.SZSE,鸿博股份,yin2,2026-08-14,2026-08-17,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0215583971691096,2.120392354242252,09:45,早09:30~10:30
002229.SZSE,鸿博股份,yang2,2026-08-27,2026-08-28,1,True,False,False,-+,混合,>5,>5,>5,1.9308352608926969,0.9910344121990712,10:15,早09:30~10:30
002232.SZSE,启明信息,yang2,2024-07-25,2024-07-26,3,True,True,True,++,全多(10>20>30),>5,>5,>5,1.1683597114360191,3.5437819971307984,,
002232.SZSE,启明信息,yang2,2024-12-06,2024-12-09,0,False,False,False,-+,混合,>5,>5,>5,1.803891023551354,1.0894449052471005,10:30,早09:30~10:30
002235.SZSE,安妮股份,yang2,2025-06-30,2025-07-01,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.1112226851745468,0.93470100390941,13:45,午13:00~14:00
002238.SZSE,天威视讯,yin4,2023-11-17,2023-11-20,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.5670941238437652,0.9518572124496549,,
002238.SZSE,天威视讯,yang4,2023-11-21,2023-11-22,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.5940806664824801,1.2024447389645958,,
002238.SZSE,天威视讯,yang4,2023-12-06,2023-12-07,1,True,False,False,-+,混合,>5,>5,>5,1.124948940349747,1.402042070261674,,
002246.SZSE,北化股份,yang2,2024-05-17,2024-05-20,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.37886224926558,1.622070731153326,,
002246.SZSE,北化股份,yang2,2024-05-22,2024-05-23,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.9983405083788348,0.6171129386894525,,
002246.SZSE,北化股份,yang4,2025-08-08,2025-08-11,1,True,False,False,-+,混合,>5,>5,>5,1.336694958654975,0.7247027787983554,11:00,中10:30~11:30
002247.SZSE,聚力文化,yang2,2024-10-25,2024-10-28,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.2994367518805543,1.7434027124729177,10:00,早09:30~10:30
002247.SZSE,聚力文化,yin2,2024-10-29,2024-10-30,2,True,True,False,++,全多(10>20>30),>5,>5,>5,1.1418748276761486,4.224398011356744,10:00,早09:30~10:30
002248.SZSE,华东数控,yang4,2024-11-07,2024-11-08,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,1.924153323199177,0.8755306620816593,10:30,早09:30~10:30
002249.SZSE,大洋电机,yin2,2025-10-17,2025-10-20,1,True,False,False,++,全多(10>20>30),0~5,0~5,>5,0.8327939224648752,0.7766748995257308,09:45,早09:30~10:30
002249.SZSE,大洋电机,yang2,2025-10-21,2025-10-22,0,False,False,False,-+,混合,>5,>5,>5,3.018432073254164,2.465061216607256,10:30,早09:30~10:30
002250.SZSE,联化科技,yang4,2025-06-04,2025-06-05,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.1224441849219455,1.9741195940956373,10:30,早09:30~10:30
002250.SZSE,联化科技,yang4,2025-06-06,2025-06-09,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.39093188601685225,1.1764578462649629,09:45,早09:30~10:30
002250.SZSE,联化科技,yang4,2025-06-20,2025-06-23,0,False,False,False,++,全多(10>20>30),-5~0,>5,>5,1.0844429967542895,0.7602880515946379,10:00,早09:30~10:30
002251.SZSE,步步高,yin2,2026-06-04,2026-06-05,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.9039810347841378,0.8703278574003054,09:45,早09:30~10:30
002253.SZSE,川大智胜,yin4,2024-05-16,2024-05-17,1,True,False,False,+-,混合,0~5,>5,>5,1.341556031022742,0.783164224982161,,
002253.SZSE,川大智胜,yang2,2024-10-25,2024-10-28,4,True,True,True,++,全多(10>20>30),>5,>5,>5,0.9077764039999502,0.9905097400360269,09:45,早09:30~10:30
002253.SZSE,川大智胜,yang4,2024-11-05,2024-11-06,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.5686196492048852,1.5835382304542498,13:15,午13:00~14:00
002256.SZSE,兆新股份,yin2,2024-10-14,2024-10-15,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.4778700882622458,2.0707292609276107,15:00,尾14:00~15:00
002256.SZSE,兆新股份,yin2,2024-10-21,2024-10-22,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.2517185225920535,0.4326736871252174,10:45,中10:30~11:30
002256.SZSE,兆新股份,yang4,2025-09-11,2025-09-12,1,True,False,False,++,全多(10>20>30),-5~0,>5,>5,0.831210373130494,0.6173584524894727,10:15,早09:30~10:30
002261.SZSE,拓维信息,yin4,2025-02-13,2025-02-14,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.7965537890282732,3.8087238875225133,11:00,中10:30~11:30
002261.SZSE,拓维信息,yang4,2025-02-20,2025-02-21,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.8577983528951969,0.7967156111897643,13:15,午13:00~14:00
002261.SZSE,拓维信息,yang4,2025-03-04,2025-03-05,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,1.165227629594327,0.6826870885009092,14:00,午13:00~14:00
002263.SZSE,大东南,yin4,2025-07-07,2025-07-08,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.796823144395535,0.875286023228291,11:15,中10:30~11:30
002263.SZSE,大东南,yin2,2026-04-09,2026-04-10,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.8156778742033529,0.7945787413266144,09:45,早09:30~10:30
002263.SZSE,大东南,yin2,2026-04-15,2026-04-16,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.6146051116653062,0.7798716720626555,09:45,早09:30~10:30
002264.SZSE,新 华 都,yang4,2025-12-05,2025-12-08,0,False,False,False,++,全多(10>20>30),-5~0,>5,>5,1.2131778639673516,0.6548857881426488,14:00,午13:00~14:00
002264.SZSE,新 华 都,yang4,2025-12-09,2025-12-10,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.451055798907821,1.1134774489701962,10:00,早09:30~10:30
002264.SZSE,新 华 都,yin4,2025-12-18,2025-12-19,1,True,False,False,-+,混合,0~5,-5~0,>5,0.8632000573191887,0.6428712505755796,11:30,中10:30~11:30
002264.SZSE,新 华 都,yin2,2026-01-26,2026-01-27,0,False,False,False,++,全多(10>20>30),-5~0,>5,>5,1.361764276404239,0.8922727249173178,09:45,早09:30~10:30
002264.SZSE,新 华 都,yin2,2026-01-30,2026-02-02,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,1.5785341780832662,0.8211471426111288,10:15,早09:30~10:30
002264.SZSE,新 华 都,yin2,2026-02-04,2026-02-05,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.2728267016905899,1.0696522073417971,10:45,中10:30~11:30
002265.SZSE,建设工业,yang4,2024-12-24,2024-12-25,0,False,False,False,++,全多(10>20>30),-5~0,>5,>5,1.1961236182551234,1.0521056068692436,10:30,早09:30~10:30
002265.SZSE,建设工业,yang4,2024-12-25,2024-12-26,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,1.2961348979715233,1.1961236182551234,10:00,早09:30~10:30
002265.SZSE,建设工业,yang2,2025-01-20,2025-01-21,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.272636261057545,0.9331713180352541,11:15,中10:30~11:30
002265.SZSE,建设工业,yin2,2025-06-27,2025-06-30,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.5743376386548387,2.4408963565092074,14:45,尾14:00~15:00
002265.SZSE,建设工业,yang2,2025-07-16,2025-07-17,3,True,True,True,++,全多(10>20>30),>5,>5,>5,2.0772939903480223,0.8380587911036687,10:30,早09:30~10:30
002268.SZSE,电科网安,yang2,2024-10-18,2024-10-21,1,True,False,False,++,全多(10>20>30),>5,>5,>5,2.2936460202250855,1.3919117560915435,11:00,中10:30~11:30
002269.SZSE,美邦服饰,yang2,2023-10-16,2023-10-17,0,False,False,False,-+,混合,>5,0~5,>5,3.476197396089039,0.9990652879181229,,
002269.SZSE,美邦服饰,yin2,2025-01-06,2025-01-07,1,True,False,False,-+,混合,>5,>5,>5,1.3703735404739872,2.123447350973303,14:45,尾14:00~15:00
002269.SZSE,美邦服饰,yin2,2025-01-15,2025-01-16,0,False,False,False,+-,混合,0~5,>5,>5,1.4034273409243303,1.1479037501470528,10:00,早09:30~10:30
002269.SZSE,美邦服饰,yang2,2025-09-11,2025-09-12,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.070948994750932,0.8087490779339056,10:45,中10:30~11:30
002269.SZSE,美邦服饰,yang2,2025-09-17,2025-09-18,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.5148877246764059,0.7657932843377601,09:45,早09:30~10:30
002271.SZSE,东方雨虹,yin2,2024-10-11,2024-10-14,0,False,False,False,++,全多(10>20>30),>5,>5,>5,0.9272498043328884,0.41510187385093367,13:30,午13:00~14:00
002272.SZSE,川润股份,yin4,2024-03-08,2024-03-11,1,True,False,False,+-,混合,>5,>5,>5,3.9279720038785064,18.778264066631788,,
002272.SZSE,川润股份,yin4,2024-03-12,2024-03-13,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.8056376814212225,2.8051078464025703,,
002272.SZSE,川润股份,yin4,2024-10-29,2024-10-30,2,True,True,False,++,全多(10>20>30),>5,>5,>5,1.5422189250621225,0.5672807948584505,11:15,中10:30~11:30
002272.SZSE,川润股份,yang4,2024-11-20,2024-11-21,1,True,False,False,-+,混合,>5,-5~0,>5,2.312955865403391,1.0841624145043969,14:30,尾14:00~15:00
002273.SZSE,水晶光电,yin2,2026-07-20,2026-07-21,1,True,False,False,--,全空(10<20<30),<-5,<-5,<-5,1.3470537928459527,1.239136954288218,11:00,中10:30~11:30
002276.SZSE,万马股份,yin2,2025-04-08,2025-04-09,2,True,True,False,-+,混合,-5~0,<-5,<-5,1.2606406754842823,1.3986776161877235,10:15,早09:30~10:30
002276.SZSE,万马股份,yin2,2025-05-09,2025-05-12,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.419678144395011,0.6575003952610601,09:45,早09:30~10:30
002277.SZSE,友阿股份,yin2,2023-11-03,2023-11-06,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.3931014434952835,2.5011030003577615,,
002278.SZSE,神开股份,yin2,2024-08-02,2024-08-05,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.39953337298423874,0.6920594564182695,,
002278.SZSE,神开股份,yang4,2025-10-24,2025-10-27,1,True,False,False,++,全多(10>20>30),>5,>5,>5,2.5724264201577225,4.297881224913235,10:45,中10:30~11:30
002279.SZSE,久其软件,yin2,2024-07-17,2024-07-18,1,True,False,False,++,全多(10>20>30),0~5,0~5,>5,1.352212843601481,0.5829180118252464,,
002279.SZSE,久其软件,yin2,2025-11-27,2025-11-28,0,False,False,False,++,全多(10>20>30),>5,>5,>5,0.8549145762580218,0.7778058080432612,09:45,早09:30~10:30
002279.SZSE,久其软件,yin2,2026-01-26,2026-01-27,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.7325316787915948,1.0929162929051717,09:45,早09:30~10:30
002281.SZSE,光迅科技,yang2,2023-06-13,2023-06-14,2,True,True,False,++,全多(10>20>30),>5,>5,>5,1.9770236760361743,0.9209404099614861,,
002281.SZSE,光迅科技,yang2,2023-06-16,2023-06-19,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.1595262418882157,1.936254876490729,,
002281.SZSE,光迅科技,yang2,2026-05-18,2026-05-19,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0297861980751,0.8127145184962615,14:45,尾14:00~15:00
002283.SZSE,天润工业,yin2,2024-12-09,2024-12-10,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.9648035979609544,0.7918233947956648,13:30,午13:00~14:00
002285.SZSE,世联行,yin2,2024-08-20,2024-08-21,0,False,False,False,++,全多(10>20>30),-5~0,0~5,>5,1.1726135892761502,0.400673978986683,14:15,尾14:00~15:00
002285.SZSE,世联行,yang2,2024-08-29,2024-08-30,0,False,False,False,-+,混合,0~5,-5~0,0~5,1.8135887958597612,0.5894080251063792,13:15,午13:00~14:00
002285.SZSE,世联行,yin2,2024-09-04,2024-09-05,1,True,False,False,-+,混合,>5,>5,>5,2.1609951150502327,0.7228472572512481,11:15,中10:30~11:30
002285.SZSE,世联行,yin2,2025-11-27,2025-11-28,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.9822522662729294,0.6796033961904527,11:15,中10:30~11:30
002285.SZSE,世联行,yin2,2025-12-01,2025-12-02,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.3318001541440174,0.9723947681023832,10:00,早09:30~10:30
002285.SZSE,世联行,yin2,2025-12-09,2025-12-10,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,0.9560423123776041,0.5348155031852216,13:30,午13:00~14:00
002285.SZSE,世联行,yang2,2025-12-15,2025-12-16,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.153848733030157,0.5302295254147782,13:45,午13:00~14:00
002286.SZSE,保龄宝,yang2,2025-04-29,2025-04-30,1,True,False,False,+-,混合,>5,>5,>5,1.7019018697035382,1.1372398681311715,10:00,早09:30~10:30
