代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,换手梯度
002187.SZSE,广百股份,2025-01-17,二接三,2,阳,2025-01-15,1.46,-7.1,69.8,+++,1.6,5.0,2,2,01-15,下影,-2.9,4.8,26.4,01-16,实体,-3.7,0.0,21.9,下影-3→实体-4,11.08,4.57,31.8,1.27,47,59,False,-16.43,-11.82,False,-11.82,1.0,False,2,炸板,True,2025-01,2025,,,,,,二接三阳,False,-4.5
002437.SZSE,誉衡药业,2026-08-14,二接三,2,阳,2026-08-12,2.33,-6.9,48.1,++-,15.5,2.0,2,2,08-12,下影,1.1,1.1,25.6,08-13,下影,-3.4,1.0,22.9,下影+1→下影-3,4.68,4.24,44.3,1.55,51,50,False,-2.35,6.41,True,1.71,2.0,False,4,炸板,False,2026-08,2026,,,,,,二接三阳,True,-2.700000000000003
002457.SZSE,青龙管业,2024-10-16,二接三,2,阳,2024-10-14,5.96,-7.6,51.2,+++,35.8,3.0,2,2,10-14,下影,0.0,2.8,28.3,10-15,下影,-0.1,2.9,26.3,下影+0→下影-0,15.61,1.62,16.3,0.6,67,33,True,9.55,-6.21,False,-6.21,1.0,False,3,封次日负,True,2024-10,2024,,,,,,二接三阳,False,-2.0
002584.SZSE,西陇科学,2023-11-17,二接三,2,阳,2023-11-15,1.14,-7.3,68.9,+++,58.9,2.0,4,4,11-15,下影,-3.4,0.6,42.6,11-16,下影,-5.0,3.1,40.0,下影-3→下影-5,11.85,4.64,32.8,0.79,38,25,True,5.49,10.04,True,1.52,2.0,False,4,连板,False,2023-11,2023,,,,,,二接三阳,True,-2.6000000000000014
002642.SZSE,荣联科技,2023-10-09,二接三,2,阳,2023-09-27,-6.37,-6.4,40.2,+++,29.9,12.0,2,2,09-27,下影,-2.8,1.9,39.3,09-28,下影,-1.0,4.4,37.9,下影-3→下影-1,11.94,3.23,23.8,0.71,41,32,True,3.52,-6.11,False,-6.11,1.0,False,3,封次日负,True,2023-10,2023,,,,,,二接三阳,False,-1.3999999999999986
002670.SZSE,国盛证券,2024-12-12,二接三,2,阳,2024-12-10,1.24,-7.0,53.8,+++,7.6,45.0,3,3,12-10,下影,10.0,5.1,11.2,12-11,下影,-0.1,2.6,14.1,下影+10→下影-0,17.4,9.99,7.6,0.9,119,119,True,-8.05,10.0,True,-0.98,2.0,False,4,连板,False,2024-12,2024,,,,,,二接三阳,True,2.9000000000000004
002733.SZSE,雄韬股份,2025-01-07,二接三,2,阳,2025-01-03,2.17,-5.7,19.8,+-+,4.0,206.0,0,0,01-03,下影,-2.3,1.6,18.9,01-06,下影,-2.9,3.9,20.2,下影-2→下影-3,18.82,-0.64,10.6,0.73,77,52,True,9.99,9.99,True,8.87,3.0,False,5,连板,False,2025-01,2025,,,,,,二接三阳,True,1.3000000000000007
002748.SZSE,世龙实业,2025-10-23,二接三,2,阳,2025-10-21,1.94,-6.7,18.0,+++,2.9,352.0,0,0,10-21,下影,0.2,1.1,8.2,10-22,实体,-3.5,0.0,8.5,下影+0→实体-3,13.98,0.24,11.9,1.53,49,51,True,3.36,10.01,True,10.87,3.0,False,5,连板,False,2025-10,2025,,,,,,二接三阳,True,0.3000000000000007
002820.SZSE,桂发祥,2024-11-26,二接三,2,阳,2024-11-22,2.52,-2.9,33.9,-++,11.3,,0,0,11-22,下影,-0.9,0.9,19.5,11-25,下影,-0.1,4.6,23.2,下影-1→下影-0,11.94,5.07,8.6,0.72,79,132,True,9.97,9.97,True,59.38,7.0,False,9,连板,False,2024-11,2024,,,,,,二接三阳,True,3.6999999999999993
002869.SZSE,金溢科技,2024-06-19,二接三,2,阳,2024-06-17,3.17,-4.8,65.1,+++,47.7,7.0,2,2,06-17,下影,8.4,0.6,20.1,06-18,下影,-1.5,2.1,27.0,下影+8→下影-1,34.21,6.11,23.9,0.99,20,26,True,1.75,6.69,False,6.69,1.0,False,3,封次日正,False,2024-06,2024,,,,,,二接三阳,True,6.899999999999999
