组,月,笔数,坏票率,封住率,次日收,持有到断板
3板反包,2025-07,33,45%,70%,-0.98,-1.49
3板反包,2025-08,41,63%,76%,-0.88,-0.27
3板反包,2025-09,44,45%,82%,0.18,0.27
3板反包,2025-10,36,61%,67%,-0.86,-1.44
3板反包,2025-11,47,64%,57%,-1.61,-0.42
3板反包,2025-12,46,57%,67%,-1.08,-0.5
3板反包,2026-01,54,65%,74%,-1.64,-1.2
3板反包,2026-02,21,57%,67%,-1.86,-2.58
3板反包,2026-03,43,65%,70%,-1.05,-1.0
3板反包,2026-04,37,46%,81%,0.08,0.15
3板反包,2026-05,43,47%,65%,0.2,-0.3
3板反包,2026-06,59,53%,64%,-0.49,-1.0
3板反包,2026-07,46,70%,70%,-2.9,-1.18
3板反包,2026-08,34,56%,68%,-1.06,0.08
3板反包,2026-09,33,76%,76%,-3.87,-2.73
4板反包,2023-06,5,100%,60%,-8.78,-8.15
4板反包,2023-07,6,50%,17%,-2.4,-1.97
4板反包,2023-08,6,17%,83%,2.4,2.22
4板反包,2023-09,3,67%,67%,0.39,0.09
4板反包,2023-10,4,75%,50%,-3.61,-3.85
4板反包,2023-11,7,14%,86%,4.07,1.5
4板反包,2023-12,15,67%,67%,-1.31,-1.69
4板反包,2024-01,16,56%,62%,-0.98,-0.55
4板反包,2024-02,21,38%,81%,1.77,1.83
4板反包,2024-03,17,71%,59%,-1.17,-0.45
4板反包,2024-04,9,44%,78%,-1.88,-0.59
4板反包,2024-05,7,71%,71%,-2.53,-1.55
4板反包,2024-06,5,100%,80%,-6.04,-5.25
4板反包,2024-07,13,46%,62%,0.51,2.29
4板反包,2024-08,9,56%,89%,0.51,0.47
4板反包,2024-09,11,36%,91%,1.81,0.41
4板反包,2024-10,15,73%,53%,-3.64,-1.56
4板反包,2024-11,20,40%,75%,-0.52,0.16
4板反包,2024-12,29,45%,66%,-0.53,-0.21
4板反包,2025-01,8,50%,75%,0.09,1.55
4板反包,2025-02,11,64%,55%,-1.35,-0.57
4板反包,2025-03,7,43%,86%,3.5,4.79
4板反包,2025-04,17,53%,71%,-1.45,-1.07
4板反包,2025-05,21,71%,71%,-1.42,-1.2
4板反包,2025-06,12,75%,58%,-3.25,-2.12
4板反包,2025-07,11,55%,64%,-0.72,-0.25
4板反包,2025-08,12,50%,83%,-0.42,1.54
4板反包,2025-09,17,59%,76%,0.4,1.87
4板反包,2025-10,11,73%,82%,-0.19,0.28
4板反包,2025-11,9,44%,78%,2.38,0.18
4板反包,2025-12,17,41%,65%,2.12,3.81
4板反包,2026-01,29,62%,59%,-1.29,-0.69
4板反包,2026-02,8,50%,88%,-0.35,0.25
4板反包,2026-03,20,55%,70%,1.07,0.92
4板反包,2026-04,15,53%,80%,-1.09,-0.99
4板反包,2026-05,10,60%,30%,-1.75,-2.17
4板反包,2026-06,15,53%,80%,-0.42,-0.29
4板反包,2026-07,11,36%,91%,2.76,2.33
4板反包,2026-08,11,73%,73%,-1.19,-1.64
4板反包,2026-09,3,67%,100%,1.08,4.37
4板反包阳,2023-04,1,0%,100%,9.3,9.3
4板反包阳,2023-05,1,0%,100%,10.02,50.65
