代码,名称,买入日,四组,方案点,阴阳,地基涨跌%,地基档,距MA5%,距MA10%,距MA20%,距MA30%,站上均线数,MA10位置,MA10斜率%,MA20斜率%,反包结构,断板天数,前板高度,反包收复%,断板回撤%,前板日,链,买入开盘%,次日收%,持有到断板%,月,年
002271.SZSE,东方雨虹,2024-10-08,二接三阳,—,阳,4.01,大阳3~5,5.5,8.8,9.3,8.2,4,上,2.43,1.39,60日内无板,,,,,,实体+5→下影+9,10.01,-10.09,-10.09,2024-10,2024
002272.SZSE,川润股份,2025-08-19,二接三阴,—,阴,-4.24,大阴-5~-3,-1.0,1.9,9.5,14.6,3,上,8.59,6.25,断8~15天,10.0,1.0,22.9,-0.5,07-31,实体-2→一字+10,10.01,6.38,6.38,2025-08,2025
002272.SZSE,川润股份,2025-08-20,三接四阴,—,阴,-4.24,大阴-5~-3,-1.0,1.9,9.5,14.6,3,上,8.59,6.25,断8~15天,10.0,1.0,22.9,-0.5,07-31,实体-2→一字+10→下影+10,5.38,-12.97,-12.97,2025-08,2025
002272.SZSE,川润股份,2026-05-20,二接三阴,—,阴,-2.29,小阴-3~0,-3.7,-1.6,-2.1,-0.9,0,下,1.94,0.29,断4~7天,7.0,1.0,8.3,-2.4,05-06,下影+6→下影+1,10.01,-9.98,-9.98,2026-05,2026
002276.SZSE,万马股份,2025-02-28,二接三阳,—,阳,-0.74,小阴-3~0,3.2,11.8,18.4,23.1,4,上,9.49,7.05,断4~7天,4.0,1.0,19.6,2.2,02-19,下影+0→实体+3,5.97,-4.73,-4.73,2025-02,2025
002277.SZSE,友阿股份,2023-11-02,二接三阳,—,阳,0.6,小阳0~3,4.0,4.4,3.9,3.5,4,上,-0.0,-0.4,60日内无板,,,,,,一字+10→一字+10,10.1,-17.0,-17.0,2023-11,2023
002278.SZSE,神开股份,2024-07-30,二接三阳,—,阳,1.8,小阳0~3,-0.1,-1.1,-3.4,-3.2,0,下,-2.06,-0.66,断16~60天,39.0,2.0,-18.1,-27.9,05-30,实体+0→实体+2,2.71,-12.14,-12.14,2024-07,2024
002278.SZSE,神开股份,2025-03-17,二接三阳,—,阳,1.05,小阳0~3,0.8,1.5,2.3,3.3,4,上,0.49,0.68,断16~60天,31.0,1.0,6.7,-11.7,01-20,下影+0→下影+10,9.99,9.99,37.48,2025-03,2025
002278.SZSE,神开股份,2025-03-18,三接四阳,—,阳,1.05,小阳0~3,0.8,1.5,2.3,3.3,4,上,0.49,0.68,断16~60天,31.0,1.0,6.7,-11.7,01-20,下影+0→下影+10→下影+10,8.04,10.02,25.0,2025-03,2025
002278.SZSE,神开股份,2025-10-23,三接四阴,—,阴,-4.04,大阴-5~-3,-2.4,-2.1,-4.8,-6.1,0,下,-1.42,-1.26,断16~60天,35.0,1.0,-10.9,-21.3,08-21,下影+1→一字+10→一字+10,4.79,6.49,6.49,2025-10,2025
002279.SZSE,久其软件,2023-08-23,二接三阴,—,阴,-5.19,巨阴≤-5,-5.9,-2.7,1.7,3.0,2,下,6.01,2.88,60日内无板,,,,,,实体+1→下影+10,9.17,-16.11,-16.11,2023-08,2023
002281.SZSE,光迅科技,2024-03-04,二接三阴,—,阴,-7.11,巨阴≤-5,-2.6,2.9,9.5,10.4,3,上,13.54,3.84,断4~7天,7.0,1.0,14.7,-2.3,02-19,实体+1→下影+1,4.33,-2.34,-2.34,2024-03,2024
002285.SZSE,世联行,2024-09-30,二接三阳,—,阳,0.0,小阳0~3,0.8,2.9,7.2,7.6,4,上,3.61,2.63,断8~15天,12.0,1.0,13.3,-9.7,09-05,下影-1→下影+5,9.88,5.62,5.62,2024-09,2024
002285.SZSE,世联行,2024-10-08,三接四阳,—,阳,0.0,小阳0~3,0.8,2.9,7.2,7.6,4,上,3.61,2.63,断8~15天,12.0,1.0,13.3,-9.7,09-05,下影-1→下影+5→下影+10,10.11,-13.61,-13.61,2024-10,2024
002285.SZSE,世联行,2024-11-07,二接三阳,—,阳,7.5,巨阳≥5,11.8,15.5,16.1,23.5,4,上,1.01,4.28,断8~15天,13.0,1.0,15.3,-16.0,10-16,实体-4→下影+10,0.55,-9.0,-9.0,2024-11,2024
002287.SZSE,奇正藏药,2025-08-01,二接三阳,—,阳,5.51,巨阳≥5,4.1,6.6,10.9,12.8,4,上,5.61,2.8,断4~7天,6.0,1.0,13.5,-3.1,07-21,下影-0→下影+7,6.72,3.14,3.14,2025-08,2025
002287.SZSE,奇正藏药,2025-08-04,三接四阳,—,阳,5.51,巨阳≥5,4.1,6.6,10.9,12.8,4,上,5.61,2.8,断4~7天,6.0,1.0,13.5,-3.1,07-21,下影-0→下影+7→下影+7,10.0,-15.59,-15.59,2025-08,2025
002290.SZSE,禾盛新材,2024-02-20,二接三阴,—,阴,-5.69,巨阴≤-5,-14.5,-26.3,-36.7,-40.4,0,下,-16.54,-10.58,60日内无板,,,,,,下影-2→下影+3,5.44,2.37,2.37,2024-02,2024
