代码,名称,买入日,四组,方案点,阴阳,地基涨跌%,地基档,距MA5%,距MA10%,距MA20%,距MA30%,站上均线数,MA10位置,MA10斜率%,MA20斜率%,反包结构,断板天数,前板高度,反包收复%,断板回撤%,前板日,链,买入开盘%,次日收%,持有到断板%,月,年
002792.SZSE,通宇通讯,2026-08-05,二接三阳,—,阳,5.37,巨阳≥5,-1.4,-2.7,-13.6,-21.1,0,下,-8.2,-9.32,60日内无板,,,,,,下影-0→下影+3,6.71,6.89,7.81,2026-08,2026
002796.SZSE,世嘉科技,2024-04-02,二接三阳,—,阳,3.83,大阳3~5,-1.0,-2.0,0.8,6.1,2,下,0.49,2.36,断8~15天,13.0,1.0,4.6,-8.8,03-11,实体+2→实体+1,5.75,9.98,8.87,2024-04,2024
002797.SZSE,第一创业,2024-10-08,二接三阳,—,阳,4.64,大阳3~5,6.6,8.8,10.8,11.5,4,上,2.92,1.72,60日内无板,,,,,,下影+3→下影+9,10.0,-9.99,-9.99,2024-10,2024
002797.SZSE,第一创业,2024-11-01,二接三阳,—,阳,1.43,小阳0~3,3.3,5.9,6.5,14.5,4,上,1.39,6.16,断8~15天,15.0,3.0,0.0,-19.0,10-08,下影+2→下影+4,10.01,-9.42,-9.42,2024-11,2024
002799.SZSE,环球印务,2025-08-04,二接三阳,—,阳,-0.24,小阴-3~0,-0.1,0.2,-0.3,-0.4,1,上,-0.01,-0.72,断16~60天,24.0,1.0,3.5,-9.4,06-26,实体-1→下影+10,10.04,-21.91,-21.91,2025-08,2025
002800.SZSE,天顺股份,2025-04-11,三接四阳,A1,阳,-4.13,大阴-5~-3,2.9,4.4,0.7,1.0,4,上,-3.55,-0.47,断1天,1.0,1.0,5.5,-6.3,04-03,实体-2→下影+10→一字+10,2.96,-16.79,-16.79,2025-04,2025
002800.SZSE,天顺股份,2025-08-12,二接三阳,—,阳,0.98,小阳0~3,1.7,2.4,3.5,3.8,4,上,0.69,0.91,断16~60天,33.0,2.0,0.4,-16.1,06-23,下影-1→下影+7,9.99,-17.81,-17.81,2025-08,2025
002802.SZSE,洪汇新材,2023-08-28,二接三阴,—,阴,-2.07,小阴-3~0,-2.0,-1.9,-3.2,-3.7,0,下,-0.88,-0.76,60日内无板,,,,,,下影+10→下影+6,10.02,-14.97,-14.97,2023-08,2023
002805.SZSE,丰元股份,2025-11-17,二接三阴,—,阴,-3.6,大阴-5~-3,1.5,9.3,17.3,20.2,4,上,11.72,5.77,断2~3天,3.0,1.0,11.2,-3.0,11-07,实体+2→下影+10,7.01,-9.98,-9.98,2025-11,2025
002805.SZSE,丰元股份,2026-05-06,二接三阳,—,阳,2.83,小阳0~3,3.3,3.9,6.8,7.6,4,上,2.29,0.76,60日内无板,,,,,,下影+5→下影+9,2.14,-2.47,-2.47,2026-05,2026
002806.SZSE,华锋股份,2026-06-01,二接三阴,—,阴,-3.6,大阴-5~-3,-4.1,-1.3,1.8,3.4,2,下,3.09,2.74,断2~3天,3.0,1.0,0.1,-9.9,05-22,实体-1→下影+10,4.27,-0.05,-7.57,2026-06,2026
002809.SZSE,红墙股份,2025-04-21,二接三阴,—,阴,-3.06,大阴-5~-3,0.6,1.2,-4.7,-5.8,2,上,-5.14,-2.42,60日内无板,,,,,,实体-1→下影+8,2.51,9.96,2.66,2025-04,2025
002809.SZSE,红墙股份,2025-04-22,三接四阴,—,阴,-3.06,大阴-5~-3,0.6,1.2,-4.7,-5.8,2,上,-5.14,-2.42,60日内无板,,,,,,实体-1→下影+8→下影+3,-9.58,-6.64,-6.64,2025-04,2025
002809.SZSE,红墙股份,2025-05-13,二接三阳,—,阳,5.12,巨阳≥5,4.4,5.8,24.4,31.0,4,上,14.58,10.41,断1天,1.0,1.0,15.6,-4.1,05-07,下影+0→下影+1,0.0,3.84,3.84,2025-05,2025
002809.SZSE,红墙股份,2025-05-14,三接四阳,—,阳,5.12,巨阳≥5,4.4,5.8,24.4,31.0,4,上,14.58,10.41,断1天,1.0,1.0,15.6,-4.1,05-07,下影+0→下影+1→下影+0,4.98,-8.83,-8.83,2025-05,2025
002811.SZSE,郑中设计,2025-05-19,二接三阴,—,阴,-0.54,小阴-3~0,-0.6,1.6,3.6,3.2,3,上,2.7,2.32,60日内无板,,,,,,下影+0→下影+10,-5.07,10.03,14.89,2025-05,2025
002811.SZSE,郑中设计,2025-05-20,三接四阴,—,阴,-0.54,小阴-3~0,-0.6,1.6,3.6,3.2,3,上,2.7,2.32,60日内无板,,,,,,下影+0→下影+10→下影-5,-2.43,10.0,4.41,2025-05,2025
002813.SZSE,路畅科技,2024-05-06,二接三阳,—,阳,2.61,小阳0~3,2.2,4.6,-3.0,-6.1,2,上,-6.34,-3.57,断8~15天,14.0,1.0,-5.5,-25.4,04-08,下影+6→下影+10,1.31,-13.26,-13.26,2024-05,2024
002813.SZSE,路畅科技,2025-05-21,三接四阴,—,阴,-1.17,小阴-3~0,-1.0,0.9,4.5,4.6,3,上,4.3,3.04,60日内无板,,,,,,实体-0→下影+10→一字+10,2.49,-22.58,-22.58,2025-05,2025
002819.SZSE,东方中科,2024-01-05,二接三阴,—,阴,-1.72,小阴-3~0,-0.2,-1.0,-5.2,-7.8,0,下,-4.02,-2.72,断16~60天,40.0,1.0,2.8,-8.9,11-06,实体+0→下影+3,10.01,10.0,-1.01,2024-01,2024
002819.SZSE,东方中科,2024-01-08,三接四阴,—,阴,-1.72,小阴-3~0,-0.2,-1.0,-5.2,-7.8,0,下,-4.02,-2.72,断16~60天,40.0,1.0,2.8,-8.9,11-06,实体+0→下影+3→下影+10,7.46,-10.01,-10.01,2024-01,2024
002819.SZSE,东方中科,2025-05-20,二接三阴,—,阴,-6.07,巨阴≤-5,-1.3,4.0,12.3,14.4,3,上,11.79,4.67,断1天,1.0,1.0,3.3,-8.5,05-14,下影+6→下影-2,1.08,-18.99,-18.99,2025-05,2025
002820.SZSE,桂发祥,2024-11-26,二接三阳,B2,阳,2.52,小阳0~3,3.0,2.6,4.1,6.9,4,上,-0.16,2.09,60日内无板,,,,,,下影-1→下影-0,5.07,9.97,59.38,2024-11,2024
002820.SZSE,桂发祥,2025-08-13,二接三阳,—,阳,0.62,小阳0~3,1.0,1.5,1.3,-0.4,3,上,-0.02,-1.37,断16~60天,32.0,1.0,4.4,-10.0,06-25,下影+1→下影+1,10.01,2.33,2.33,2025-08,2025
002823.SZSE,凯中精密,2024-06-27,二接三阴,—,阴,-5.71,巨阴≤-5,-6.2,-6.1,-8.4,-10.4,0,下,-0.7,-2.31,断16~60天,35.0,2.0,-14.0,-21.9,04-30,一字+10→一字+10,10.01,-7.51,-7.51,2024-06,2024
002823.SZSE,凯中精密,2024-07-10,二接三阴,—,阴,-2.37,小阴-3~0,-2.2,5.0,13.8,15.2,3,上,12.25,5.77,断4~7天,4.0,1.0,8.0,-5.4,07-01,实体+1→下影+5,5.77,-3.53,-3.53,2024-07,2024
002824.SZSE,和胜股份,2026-04-13,二接三阳,—,阳,5.03,巨阳≥5,3.1,7.6,8.2,4.4,4,上,5.35,-0.29,断16~60天,32.0,1.0,-7.8,-33.5,02-12,下影-0→下影+8,-1.11,-3.13,-3.13,2026-04,2026
002827.SZSE,高争民爆,2024-05-07,二接三阳,—,阳,0.69,小阳0~3,0.9,3.1,-1.1,-3.3,2,上,-2.01,-1.71,断16~60天,39.0,1.0,3.0,-17.3,03-01,下影+2→下影+2,1.25,2.95,2.95,2024-05,2024
002827.SZSE,高争民爆,2024-08-15,二接三阴,—,阴,-1.71,小阴-3~0,1.7,5.4,6.4,3.8,4,上,5.7,-1.29,断2~3天,3.0,1.0,11.3,-1.4,08-07,实体+0→下影+8,0.3,-12.92,-12.92,2024-08,2024
002827.SZSE,高争民爆,2025-07-24,三接四阴,—,阴,-3.5,大阴-5~-3,-1.5,2.1,8.2,10.9,3,上,8.89,3.79,60日内无板,,,,,,一字+10→一字+10→一字+10,7.22,-4.51,-4.51,2025-07,2025
002827.SZSE,高争民爆,2026-07-31,二接三阳,—,阳,2.93,小阳0~3,4.3,5.3,7.5,5.7,4,上,3.97,0.35,60日内无板,,,,,,一字+10→一字+10,10.02,10.0,29.36,2026-07,2026
002827.SZSE,高争民爆,2026-08-03,三接四阳,—,阳,2.93,小阳0~3,4.3,5.3,7.5,5.7,4,上,3.97,0.35,60日内无板,,,,,,一字+10→一字+10→下影+10,10.0,10.01,17.6,2026-08,2026
002827.SZSE,高争民爆,2026-08-10,二接三阳,—,阳,6.9,巨阳≥5,17.3,39.9,60.3,68.0,4,上,27.66,14.5,断1天,1.0,5.0,17.6,-1.5,08-04,下影+9→下影+8,7.09,-1.63,-1.63,2026-08,2026
002828.SZSE,贝肯能源,2023-09-28,二接三阳,—,阳,-1.15,小阴-3~0,0.9,2.4,3.7,5.6,4,上,2.1,1.9,60日内无板,,,,,,下影-1→实体+4,8.92,10.02,8.9,2023-09,2023
002828.SZSE,贝肯能源,2023-10-09,三接四阳,—,阳,-1.15,小阴-3~0,0.9,2.4,3.7,5.6,4,上,2.1,1.9,60日内无板,,,,,,下影-1→实体+4→下影+9,-2.15,9.97,-1.01,2023-10,2023
002828.SZSE,贝肯能源,2025-06-17,二接三阴,—,阴,0.0,小阳0~3,-0.6,0.2,1.4,3.0,3,上,1.71,0.95,断16~60天,24.0,1.0,11.5,-5.0,05-08,下影+10→一字+10,-3.15,9.99,10.4,2025-06,2025
002828.SZSE,贝肯能源,2025-06-18,三接四阴,—,阴,0.0,小阳0~3,-0.6,0.2,1.4,3.0,3,上,1.71,0.95,断16~60天,24.0,1.0,11.5,-5.0,05-08,下影+10→一字+10→下影-3,3.03,0.37,0.37,2025-06,2025
002829.SZSE,星网宇达,2024-08-05,二接三阴,—,阴,-2.23,小阴-3~0,5.6,11.2,18.9,27.2,4,上,1.83,9.26,断1天,1.0,1.0,7.5,-7.9,07-30,实体-2→下影+7,7.8,-19.34,-19.34,2024-08,2024
002830.SZSE,名雕股份,2026-02-03,二接三阳,—,阳,1.05,小阳0~3,0.1,-0.1,3.2,4.5,3,下,2.46,1.14,断8~15天,9.0,1.0,4.6,-7.7,01-16,下影-1→下影+5,-2.74,9.99,-1.0,2026-02,2026
002830.SZSE,名雕股份,2026-02-04,三接四阳,—,阳,1.05,小阳0~3,0.1,-0.1,3.2,4.5,3,下,2.46,1.14,断8~15天,9.0,1.0,4.6,-7.7,01-16,下影-1→下影+5→下影-3,0.18,-9.98,-9.98,2026-02,2026
002832.SZSE,比音勒芬,2024-10-08,二接三阳,—,阳,9.5,巨阳≥5,11.1,14.6,13.2,11.1,4,上,1.27,-0.12,60日内无板,,,,,,下影+4→下影+9,10.01,-17.98,-17.98,2024-10,2024
002836.SZSE,新宏泽,2025-04-21,二接三阴,—,阴,-0.99,小阴-3~0,2.1,3.4,0.6,-1.0,3,上,-1.36,-1.93,60日内无板,,,,,,一字+10→一字+10,10.01,-20.54,-20.54,2025-04,2025
002838.SZSE,道恩股份,2024-11-13,二接三阳,—,阳,4.04,大阳3~5,2.9,9.4,15.4,22.2,4,上,5.23,7.89,断8~15天,14.0,1.0,21.0,-9.8,09-30,实体+0→一字+10,9.98,-17.4,-17.4,2024-11,2024
002841.SZSE,视源股份,2026-07-09,二接三阳,—,阳,2.14,小阳0~3,6.5,11.6,12.7,10.1,4,上,3.1,0.42,60日内无板,,,,,,一字+10→下影+6,-4.81,0.61,0.61,2026-07,2026
002843.SZSE,泰嘉股份,2023-06-05,二接三阴,—,阴,-4.16,大阴-5~-3,-0.2,3.0,6.8,9.1,3,上,4.95,3.75,断1天,1.0,1.0,5.4,-4.6,05-30,下影-0→实体+1,1.2,-14.18,-14.18,2023-06,2023
002843.SZSE,泰嘉股份,2026-03-02,二接三阴,—,阴,2.5,小阳0~3,5.1,9.7,7.4,3.5,4,上,4.84,-2.46,断2~3天,2.0,1.0,10.2,-4.2,02-13,下影+7→一字+10,6.25,4.28,4.28,2026-03,2026
002843.SZSE,泰嘉股份,2026-03-03,三接四阴,—,阴,2.5,小阳0~3,5.1,9.7,7.4,3.5,4,上,4.84,-2.46,断2~3天,2.0,1.0,10.2,-4.2,02-13,下影+7→一字+10→下影+6,4.32,-7.75,-7.75,2026-03,2026
002846.SZSE,英联股份,2023-06-28,二接三阳,—,阳,2.97,小阳0~3,-0.4,1.1,4.0,5.0,3,上,3.06,1.88,断16~60天,27.0,1.0,13.7,-7.5,05-15,实体+1→下影+8,3.74,-15.76,-15.76,2023-06,2023
002846.SZSE,英联股份,2023-07-04,二接三阴,—,阴,-5.82,巨阴≤-5,-0.3,5.0,11.3,14.0,3,上,8.86,5.08,断2~3天,2.0,2.0,2.0,-8.8,06-27,下影-1→下影+10,8.72,-9.86,-9.86,2023-07,2023
002846.SZSE,英联股份,2025-06-24,二接三阴,—,阴,-3.83,大阴-5~-3,-1.6,-2.8,1.5,7.8,2,下,4.34,4.91,断8~15天,8.0,1.0,3.0,-9.0,06-09,下影+0→下影-1,1.14,10.0,14.82,2025-06,2025
002846.SZSE,英联股份,2025-06-25,三接四阴,—,阴,-3.83,大阴-5~-3,-1.6,-2.8,1.5,7.8,2,下,4.34,4.91,断8~15天,8.0,1.0,3.0,-9.0,06-09,下影+0→下影-1→下影+1,4.33,4.38,4.38,2025-06,2025
002848.SZSE,高斯贝尔,2024-03-05,三接四阴,—,阴,-9.99,巨阴≤-5,-4.1,5.7,-2.7,-12.4,1,上,4.69,-6.13,断8~15天,8.0,1.0,35.5,0.0,02-08,实体-4→下影+2→一字+10,9.97,-22.23,-22.23,2024-03,2024
002849.SZSE,威星智能,2024-11-12,二接三阳,—,阳,1.0,小阳0~3,3.5,4.1,13.3,20.2,4,上,5.25,4.54,断16~60天,24.0,1.0,45.7,-6.8,09-27,实体+0→一字+10,10.0,-10.71,-10.71,2024-11,2024
002850.SZSE,科达利,2024-10-08,二接三阳,—,阳,0.94,小阳0~3,4.4,3.5,4.1,7.0,4,上,-1.69,2.18,60日内无板,,,,,,实体+1→下影+7,10.01,-6.41,-6.41,2024-10,2024
002851.SZSE,麦格米特,2024-10-23,三接四阳,—,阳,6.17,巨阳≥5,6.9,8.5,19.3,23.2,4,上,10.33,5.35,60日内无板,,,,,,一字+10→一字+10→一字+10,6.86,3.93,3.93,2024-10,2024
002851.SZSE,麦格米特,2024-12-23,二接三阳,—,阳,3.02,大阳3~5,6.8,8.9,11.1,8.0,4,上,2.61,-0.76,断2~3天,2.0,1.0,15.7,-1.1,12-16,实体+1→下影+7,7.0,-5.81,-5.81,2024-12,2024
002852.SZSE,道道全,2023-04-19,二接三阴,—,阴,-2.03,小阴-3~0,0.4,1.9,,,2,上,,,断2~3天,3.0,1.0,7.8,-3.1,04-11,一字+10→下影+5,3.97,-4.54,-4.54,2023-04,2023
002853.SZSE,皮阿诺,2025-12-17,二接三阴,—,阴,-0.27,小阴-3~0,0.2,2.4,4.4,7.5,4,上,2.24,2.58,60日内无板,,,,,,下影+2→一字+10,1.4,10.03,14.5,2025-12,2025
002853.SZSE,皮阿诺,2025-12-18,三接四阴,—,阴,-0.27,小阴-3~0,0.2,2.4,4.4,7.5,4,上,2.24,2.58,60日内无板,,,,,,下影+2→一字+10→下影+1,8.4,4.07,4.07,2025-12,2025
002855.SZSE,捷荣技术,2023-09-01,二接三阳,—,阳,7.99,巨阳≥5,6.1,5.1,2.2,0.7,4,上,-2.38,-1.57,60日内无板,,,,,,一字+10→一字+10,7.36,9.99,43.5,2023-09,2023
002855.SZSE,捷荣技术,2023-09-04,三接四阳,A1,阳,7.99,巨阳≥5,6.1,5.1,2.2,0.7,4,上,-2.38,-1.57,60日内无板,,,,,,一字+10→一字+10→下影+7,9.99,9.97,30.46,2023-09,2023
002855.SZSE,捷荣技术,2023-09-22,二接三阳,—,阳,3.33,大阳3~5,3.8,15.9,55.5,82.1,4,上,36.95,30.88,断2~3天,3.0,2.0,11.2,-7.9,09-14,下影-2→下影+1,4.01,9.99,34.2,2023-09,2023
002855.SZSE,捷荣技术,2023-09-25,三接四阳,—,阳,3.33,大阳3~5,3.8,15.9,55.5,82.1,4,上,36.95,30.88,断2~3天,3.0,2.0,11.2,-7.9,09-14,下影-2→下影+1→下影+4,5.56,9.99,22.01,2023-09,2023
002855.SZSE,捷荣技术,2023-10-26,二接三阴,—,阴,-8.28,巨阴≤-5,-11.8,-13.2,-6.8,11.1,1,下,-2.55,12.97,断8~15天,12.0,6.0,-12.4,-20.6,09-27,下影+2→下影+0,1.61,-26.21,-26.21,2023-10,2023
002855.SZSE,捷荣技术,2023-12-25,二接三阳,—,阳,3.64,大阳3~5,2.3,2.8,0.1,-2.7,3,上,-1.53,-2.68,断2~3天,2.0,1.0,5.0,-11.3,12-18,下影-1→实体+3,1.67,10.0,-1.0,2023-12,2023
002855.SZSE,捷荣技术,2023-12-26,三接四阳,—,阳,3.64,大阳3~5,2.3,2.8,0.1,-2.7,3,上,-1.53,-2.68,断2~3天,2.0,1.0,5.0,-11.3,12-18,下影-1→实体+3→下影+2,2.08,-10.0,-10.0,2023-12,2023
002857.SZSE,三晖电气,2024-03-11,二接三阳,—,阳,4.08,大阳3~5,2.7,1.6,6.9,-4.1,3,上,8.54,-6.37,断8~15天,13.0,1.0,42.0,1.8,02-08,下影+1→实体+6,10.0,-4.77,-4.77,2024-03,2024
002857.SZSE,三晖电气,2024-03-12,三接四阳,—,阳,4.08,大阳3~5,2.7,1.6,6.9,-4.1,3,上,8.54,-6.37,断8~15天,13.0,1.0,42.0,1.8,02-08,下影+1→实体+6→下影+10,4.64,-20.39,-20.39,2024-03,2024
002861.SZSE,瀛通通讯,2023-09-06,二接三阳,—,阳,1.29,小阳0~3,4.8,5.1,4.2,3.1,4,上,-0.21,-1.1,断2~3天,3.0,1.0,16.8,1.4,08-29,下影+1→一字+10,6.52,-17.39,-17.39,2023-09,2023
002861.SZSE,瀛通通讯,2024-06-28,二接三阳,—,阳,1.77,小阳0~3,-3.2,-7.4,-6.0,-8.7,0,下,2.56,-2.9,断8~15天,8.0,2.0,-6.5,-17.5,06-13,下影+0→下影+1,0.72,10.01,-1.03,2024-06,2024
002861.SZSE,瀛通通讯,2024-07-01,三接四阳,—,阳,1.77,小阳0~3,-3.2,-7.4,-6.0,-8.7,0,下,2.56,-2.9,断8~15天,8.0,2.0,-6.5,-17.5,06-13,下影+0→下影+1→下影+1,10.01,-10.03,-10.03,2024-07,2024
002861.SZSE,瀛通通讯,2025-01-21,三接四阴,—,阴,0.38,小阳0~3,1.2,-4.5,-15.0,-16.2,1,下,-12.21,-6.5,断8~15天,11.0,1.0,-21.2,-35.6,12-30,下影+1→下影+10→一字+10,9.97,10.03,-0.96,2025-01,2025
002862.SZSE,实丰文化,2023-12-18,二接三阴,—,阴,-2.87,小阴-3~0,-0.2,1.2,1.8,2.8,3,上,1.52,1.03,断2~3天,2.0,1.0,5.0,-5.3,12-11,实体-2→下影-6,8.22,10.0,4.69,2023-12,2023
002862.SZSE,实丰文化,2023-12-19,三接四阴,—,阴,-2.87,小阴-3~0,-0.2,1.2,1.8,2.8,3,上,1.52,1.03,断2~3天,2.0,1.0,5.0,-5.3,12-11,实体-2→下影-6→下影+8,7.0,-4.82,-4.82,2023-12,2023
002862.SZSE,实丰文化,2024-03-22,二接三阳,—,阳,2.03,小阳0~3,4.1,6.4,8.3,14.0,4,上,1.25,7.92,断16~60天,19.0,1.0,35.6,-2.2,02-21,下影-1→下影+8,10.02,-18.77,-18.77,2024-03,2024
002865.SZSE,钧达股份,2024-10-29,二接三阳,—,阳,1.01,小阳0~3,9.2,15.7,21.9,28.0,4,上,2.54,7.53,断1天,1.0,1.0,11.1,-1.1,10-23,实体+3→下影+2,6.21,0.69,0.69,2024-10,2024
002865.SZSE,钧达股份,2026-01-26,二接三阴,—,阴,-2.46,小阴-3~0,-4.3,2.2,22.5,40.0,3,上,22.62,17.69,断4~7天,6.0,1.0,12.9,-2.3,01-13,实体-0→下影+9,10.0,-4.81,-4.81,2026-01,2026
002868.SZSE,绿康生化,2024-01-16,三接四阳,—,阳,2.75,小阳0~3,1.6,0.2,0.0,-2.3,3,上,-0.08,-1.68,60日内无板,,,,,,实体-1→实体+1→一字+10,8.16,-5.42,-5.42,2024-01,2024
002868.SZSE,绿康生化,2024-12-31,二接三阳,—,阳,3.95,大阳3~5,-0.9,-6.9,-9.6,-10.1,0,下,-7.01,-2.77,断8~15天,10.0,1.0,-14.8,-28.0,12-12,实体+0→实体+0,1.93,-9.56,-9.56,2024-12,2024
002868.SZSE,绿康生化,2025-01-02,三接四阳,—,阳,3.95,大阳3~5,-0.9,-6.9,-9.6,-10.1,0,下,-7.01,-2.77,断8~15天,10.0,1.0,-14.8,-28.0,12-12,实体+0→实体+0→下影+2,6.26,-26.04,-26.04,2025-01,2025
002869.SZSE,金溢科技,2024-06-19,二接三阳,B2,阳,3.17,大阳3~5,6.4,11.8,23.7,28.8,4,上,13.08,8.68,断4~7天,6.0,2.0,18.7,-7.6,06-05,下影+8→下影-1,6.11,6.69,6.69,2024-06,2024
002873.SZSE,新天药业,2024-03-12,二接三阳,—,阳,3.34,大阳3~5,3.9,5.9,-1.8,-9.0,2,上,-5.28,-6.41,断4~7天,6.0,1.0,15.7,-9.5,02-06,一字+10→一字+10,9.99,0.94,0.94,2024-03,2024
002873.SZSE,新天药业,2025-08-19,二接三阳,—,阳,1.15,小阳0~3,0.3,-0.3,2.6,6.3,3,下,2.08,2.68,断8~15天,9.0,1.0,4.9,-12.1,08-01,下影+1→下影+1,3.98,-10.01,-10.01,2025-08,2025
002877.SZSE,智能自控,2023-07-14,二接三阴,—,阴,-0.74,小阴-3~0,-2.7,-4.1,-2.7,-0.3,0,下,-0.22,2.18,断16~60天,16.0,1.0,5.5,-5.7,06-15,实体+5→下影+3,0.44,-12.48,-12.48,2023-07,2023
002877.SZSE,智能自控,2025-11-20,二接三阳,—,阳,0.89,小阳0~3,1.0,1.6,2.5,3.4,4,上,1.78,1.16,60日内无板,,,,,,下影+0→一字+10,3.39,-10.0,-10.0,2025-11,2025
002878.SZSE,元隆雅图,2024-12-03,二接三阴,—,阴,-2.92,小阴-3~0,-0.8,3.5,11.0,14.6,3,上,8.66,5.06,断4~7天,5.0,2.0,2.8,-11.0,11-21,实体+0→下影+5,1.52,-22.51,-22.51,2024-12,2024
002878.SZSE,元隆雅图,2025-06-03,二接三阳,—,阳,-0.63,小阴-3~0,2.9,4.3,6.5,9.4,4,上,2.0,2.94,60日内无板,,,,,,下影-0→下影+10,8.62,-19.93,-19.93,2025-06,2025
002878.SZSE,元隆雅图,2025-06-13,二接三阴,—,阴,-2.45,小阴-3~0,3.1,5.6,14.6,19.6,4,上,9.22,5.43,断1天,1.0,1.0,7.3,-2.7,06-09,下影+4→实体+4,4.46,9.99,0.84,2025-06,2025
002878.SZSE,元隆雅图,2025-06-16,三接四阴,—,阴,-2.45,小阴-3~0,3.1,5.6,14.6,19.6,4,上,9.22,5.43,断1天,1.0,1.0,7.3,-2.7,06-09,下影+4→实体+4→下影+4,0.28,-8.32,-8.32,2025-06,2025
002879.SZSE,长缆科技,2026-07-23,二接三阴,—,阴,-2.3,小阴-3~0,-2.9,-3.8,-6.7,-9.8,0,下,-3.16,-3.53,60日内无板,,,,,,实体+10→下影+7,1.88,9.99,15.17,2026-07,2026
002879.SZSE,长缆科技,2026-07-24,三接四阴,—,阴,-2.3,小阴-3~0,-2.9,-3.8,-6.7,-9.8,0,下,-3.16,-3.53,60日内无板,,,,,,实体+10→下影+7→实体+2,9.99,10.03,4.71,2026-07,2026
002882.SZSE,金龙羽,2024-01-12,二接三阴,—,阴,-4.73,大阴-5~-3,4.9,9.2,12.7,12.0,4,上,5.68,1.45,断1天,1.0,2.0,4.8,-5.9,01-08,下影-2→下影-1,-2.25,3.47,0.31,2024-01,2024
002882.SZSE,金龙羽,2025-05-22,二接三阴,—,阴,-0.58,小阴-3~0,-1.1,-0.4,1.6,3.5,2,下,3.42,2.18,断16~60天,21.0,1.0,10.4,-6.5,04-15,下影+0→下影+0,9.99,1.43,3.3,2025-05,2025
002882.SZSE,金龙羽,2025-06-25,二接三阳,—,阳,2.01,小阳0~3,3.5,2.9,7.7,19.2,4,上,3.85,8.11,断8~15天,9.0,1.0,7.1,-12.8,06-09,下影-3→下影+3,2.28,-8.36,-8.36,2025-06,2025
002885.SZSE,京泉华,2025-11-05,二接三阴,—,阴,-1.18,小阴-3~0,-1.9,0.1,6.4,17.6,3,上,2.62,9.37,断8~15天,11.0,2.0,1.5,-16.6,10-16,下影+5→下影+10,-3.27,5.3,5.3,2025-11,2025
002885.SZSE,京泉华,2025-11-06,三接四阴,—,阴,-1.18,小阴-3~0,-1.9,0.1,6.4,17.6,3,上,2.62,9.37,断8~15天,11.0,2.0,1.5,-16.6,10-16,下影+5→下影+10→下影-3,2.39,1.35,1.35,2025-11,2025
002886.SZSE,沃特股份,2026-08-31,二接三阳,—,阳,2.63,小阳0~3,4.8,6.3,11.1,14.5,4,上,2.87,4.08,断2~3天,3.0,1.0,13.0,-6.3,08-21,下影+3→一字+10,4.58,-3.44,-3.44,2026-08,2026
002888.SZSE,惠威科技,2023-11-24,二接三阴,—,阴,-1.75,小阴-3~0,-2.2,-1.7,1.0,4.3,2,下,0.36,3.62,断8~15天,12.0,1.0,3.6,-9.4,11-03,下影+0→下影+5,-2.15,10.01,-0.98,2023-11,2023
002888.SZSE,惠威科技,2023-11-27,三接四阴,—,阴,-1.75,小阴-3~0,-2.2,-1.7,1.0,4.3,2,下,0.36,3.62,断8~15天,12.0,1.0,3.6,-9.4,11-03,下影+0→下影+5→下影-2,-7.16,-9.99,-9.99,2023-11,2023
002888.SZSE,惠威科技,2023-12-20,二接三阴,—,阴,-1.84,小阴-3~0,-4.0,-6.7,-9.3,-5.9,0,下,-6.17,1.39,断4~7天,7.0,1.0,-5.7,-15.0,12-06,下影+1→下影+1,1.73,10.01,-0.98,2023-12,2023
002888.SZSE,惠威科技,2023-12-21,三接四阴,—,阴,-1.84,小阴-3~0,-4.0,-6.7,-9.3,-5.9,0,下,-6.17,1.39,断4~7天,7.0,1.0,-5.7,-15.0,12-06,下影+1→下影+1→下影+2,-4.81,-9.99,-9.99,2023-12,2023
002888.SZSE,惠威科技,2024-01-05,二接三阴,—,阴,-7.37,巨阴≤-5,-3.5,-2.7,8.6,10.7,2,下,13.57,5.38,断4~7天,7.0,4.0,-0.9,-13.6,12-21,实体+0→下影+8,1.99,-19.29,-19.29,2024-01,2024
002889.SZSE,东方嘉盛,2023-09-18,二接三阳,—,阳,0.48,小阳0~3,3.5,6.8,9.9,10.7,4,上,5.1,2.14,断2~3天,3.0,1.0,11.9,-5.3,09-08,实体-1→下影+6,10.01,-9.99,-9.99,2023-09,2023
002889.SZSE,东方嘉盛,2023-10-31,二接三阴,—,阴,-0.23,小阴-3~0,1.5,1.0,-0.8,-2.4,2,上,-1.89,-4.29,断16~60天,22.0,3.0,-15.7,-27.4,09-18,下影-0→下影+0,3.85,10.0,8.92,2023-10,2023
002889.SZSE,东方嘉盛,2023-11-01,三接四阴,—,阴,-0.23,小阴-3~0,1.5,1.0,-0.8,-2.4,2,上,-1.89,-4.29,断16~60天,22.0,3.0,-15.7,-27.4,09-18,下影-0→下影+0→下影+4,8.36,10.01,-0.99,2023-11,2023
002889.SZSE,东方嘉盛,2024-02-28,二接三阳,—,阳,3.24,大阳3~5,6.8,12.4,-0.1,-6.8,2,上,-7.55,-6.09,断4~7天,5.0,1.0,32.5,0.7,02-08,下影+5→下影+5,9.79,-13.89,-13.89,2024-02,2024
