代码,买入日,方案点,四组,年,封住,缩量强趋势,E0,E1,E2,E3,E4,E5,E6
600386.SSE,2024-08-01,—,三接四阳,2024,True,True,0.21276595744681437,6.170212765957439,9.999999999999986,0.21276595744681437,0.21276595744681437,-9.787234042553195,-9.787234042553195
600390.SSE,2024-11-06,—,二接三阴,2024,False,False,-10.010214504596515,-15.526046986721143,-10.010214504596515,-11.133810010214507,-15.526046986721143,-10.010214504596515,-14.60674157303371
600392.SSE,2024-02-08,—,二接三阴,2024,False,False,-6.501547987616085,-7.017543859649122,-6.501547987616085,-2.6831785345717174,-7.017543859649122,-6.501547987616085,-8.152734778121761
600392.SSE,2024-11-04,—,二接三阴,2024,False,False,-1.0948905109488982,-12.408759124087588,-1.0948905109488982,-7.153284671532834,-12.408759124087588,-1.0948905109488982,-0.7299270072992692
600396.SSE,2026-03-19,—,三接四阴,2026,True,False,56.06326889279438,7.205623901581704,10.017574692442865,56.06326889279438,56.06326889279438,57.99648506151143,57.99648506151143
600396.SSE,2026-04-23,—,二接三阳,2026,True,False,-6.408952187182104,-1.831129196337744,-6.408952187182104,-6.408952187182104,-1.831129196337744,9.867751780264511,2.9501525940996753
600396.SSE,2026-05-08,—,二接三阴,2026,False,False,26.060606060606073,-4.015151515151516,3.6363636363636376,-5.757575757575761,-4.015151515151516,26.060606060606073,32.045454545454554
600396.SSE,2026-05-13,—,二接三阳,2026,True,True,0.48309178743961567,6.58212560386473,0.48309178743961567,0.48309178743961567,0.48309178743961567,5.253623188405809,5.253623188405809
600397.SSE,2024-12-30,—,二接三阳,2024,True,False,-1.041666666666663,0.0,9.895833333333325,-1.041666666666663,-1.041666666666663,14.84375,8.854166666666675
600397.SSE,2024-12-31,—,三接四阳,2024,True,False,-9.952606635071092,-2.8436018957346043,-9.952606635071092,-9.952606635071092,-2.8436018957346043,4.502369668246464,-0.9478672985781977
600397.SSE,2026-02-13,—,二接三阳,2026,False,False,24.33290978398983,2.7954256670902122,8.259212198221078,-1.5883100381194448,24.33290978398983,24.33290978398983,36.78526048284625
600397.SSE,2026-06-18,—,二接三阴,2026,True,False,26.287128712871286,8.81188118811882,10.000000000000009,26.287128712871286,26.287128712871286,27.12871287128713,27.12871287128713
600397.SSE,2026-06-22,—,三接四阴,2026,True,True,14.806480648064824,9.990999099909992,9.990999099909992,14.806480648064824,14.806480648064824,15.571557155715565,15.571557155715565
600397.SSE,2026-08-06,—,二接三阴,2026,True,True,8.999407933688563,7.282415630550632,8.999407933688563,8.999407933688563,8.999407933688563,5.920663114268798,5.920663114268798
600397.SSE,2026-08-07,—,三接四阴,2026,False,False,-3.7136706135629582,-2.744886975242189,-3.7136706135629582,-0.914962325080726,-2.744886975242189,-3.7136706135629582,-8.288482238966633
600400.SSE,2025-09-22,—,二接三阴,2025,True,True,-4.918032786885251,7.650273224043702,-4.918032786885251,-4.918032786885251,-4.918032786885251,-1.3661202185792476,4.644808743169393
600400.SSE,2025-09-23,—,三接四阴,2025,False,False,-10.421836228287852,-20.59553349875931,-4.962779156327546,-13.647642679900752,-20.59553349875931,-10.421836228287852,-19.354838709677423
600403.SSE,2025-10-16,—,二接三阳,2025,True,False,51.0,8.333333333333325,9.999999999999986,51.0,51.0,54.666666666666664,54.666666666666664
600403.SSE,2025-10-17,—,三接四阳,2025,True,True,37.27272727272728,4.2424242424242475,10.000000000000009,37.27272727272728,37.27272727272728,40.6060606060606,40.6060606060606
600403.SSE,2026-06-03,—,二接三阳,2026,True,False,19.76225854383358,9.955423476968805,9.955423476968805,19.76225854383358,19.76225854383358,13.67013372956909,13.67013372956909
600405.SSE,2024-11-25,—,二接三阳,2024,True,False,-10.067114093959727,-7.7181208053691215,-10.067114093959727,-10.067114093959727,-7.7181208053691215,-17.78523489932885,-17.78523489932885
600408.SSE,2023-09-18,—,二接三阳,2023,True,False,-9.941520467836252,-9.941520467836252,-9.941520467836252,-9.941520467836252,-9.941520467836252,-19.00584795321637,-19.00584795321637
600408.SSE,2025-10-20,—,二接三阴,2025,True,False,-7.339449541284415,-2.1406727828746086,-7.339449541284415,-7.339449541284415,-2.1406727828746086,-11.314984709480125,-11.314984709480125
600408.SSE,2025-11-05,—,二接三阳,2025,True,True,0.48309178743961567,8.69565217391306,0.48309178743961567,0.48309178743961567,0.48309178743961567,-3.864734299516903,-3.864734299516903
600408.SSE,2025-11-13,—,二接三阳,2025,True,True,9.490333919156413,7.557117750439368,10.017574692442865,9.490333919156413,9.490333919156413,-1.405975395430581,-1.405975395430581
600408.SSE,2025-11-14,—,三接四阳,2025,True,False,-0.4792332268370503,0.6389776357827559,10.063897763578279,-0.4792332268370503,-0.4792332268370503,-10.383386581469644,-10.383386581469644
600410.SSE,2024-11-26,B3,三接四阳,2024,True,False,32.85543608124253,10.035842293906839,10.035842293906839,32.85543608124253,32.85543608124253,34.40860215053765,34.40860215053765
600418.SSE,2023-10-30,—,三接四阳,2023,False,False,-17.048579285059574,-8.432630614115489,-17.048579285059574,-8.982584784601288,-8.432630614115489,-17.048579285059574,-16.773602199816683
600418.SSE,2024-10-09,—,二接三阳,2024,False,False,-4.777594728171342,-4.1515650741351,-4.777594728171342,-4.184514003294904,-4.1515650741351,-4.777594728171342,-9.686985172981878
600429.SSE,2025-11-13,—,三接四阳,2025,True,False,-10.027472527472536,-1.098901098901095,-10.027472527472536,-10.027472527472536,-1.098901098901095,-17.582417582417587,-17.582417582417587
600435.SSE,2026-01-08,—,二接三阳,2026,False,False,-5.137614678899083,-5.688073394495419,-5.137614678899083,-3.348623853211008,-5.688073394495419,-5.137614678899083,0.32110091743118296
600444.SSE,2023-12-06,—,二接三阳,2023,True,False,-4.4337606837606796,8.974358974358964,-4.4337606837606796,-4.4337606837606796,-4.4337606837606796,-13.99572649572648,-13.99572649572648
600444.SSE,2023-12-07,—,三接四阳,2023,False,False,-21.806702282661483,-13.307430791646425,-21.806702282661483,-13.11316172899465,-13.307430791646425,-21.806702282661483,-24.332200097134525
600444.SSE,2025-07-22,—,二接三阳,2025,False,False,-16.64499349804941,-13.307325530992632,-16.64499349804941,-6.892067620286079,-13.307325530992632,-16.64499349804941,-20.762895535327264
600446.SSE,2024-10-08,—,二接三阳,2024,True,False,-2.902374670184693,-0.7255936675461649,-2.902374670184693,-2.902374670184693,-0.7255936675461649,-10.290237467018471,-10.290237467018471
600448.SSE,2025-05-08,—,二接三阳,2025,True,False,14.525139664804465,10.05586592178771,10.05586592178771,14.525139664804465,14.525139664804465,34.07821229050278,25.977653631284902
600448.SSE,2025-05-09,A1,三接四阳,2025,True,False,4.060913705583746,9.898477157360407,4.060913705583746,4.060913705583746,4.060913705583746,21.82741116751268,14.467005076142136
600460.SSE,2024-10-09,—,二接三阳,2024,True,False,-3.5805626598465534,5.1516258677384075,-3.5805626598465534,-3.5805626598465534,-3.5805626598465534,-11.582024113993427,-11.582024113993427
600463.SSE,2024-07-31,—,二接三阳,2024,False,False,-3.765690376569053,-6.485355648535574,-3.765690376569053,-5.439330543933063,-6.485355648535574,-3.765690376569053,-1.3598326359832713
